season,team,player_id,player_name,position,position_group,passing_yards,passing_tds,passing_interceptions,sacks_suffered,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,targets,passing_epa,rushing_epa,receiving_epa,total_epa,production_score,contract_player_name,contract_position,cap_number,cash_paid,base_salary,guaranteed_salary,position_final,production_rank_position,cost_rank_position,player_surplus_gap,player_surplus_rank,player_value_tier
2025,CHI,00-0040236,Kyle Monangai,RB,RB,0,0,0,0,783,5,18,164,0,30,0.0,3.671481235593325,-7.266987946189103,-3.595506710595779,63.25449328940423,Kyle Monangai,RB,0.872035,0.96814,0.84,0.0,RB,29.0,59.0,30.0,4.0,Major bargain
2025,NE,00-0038621,DeMario Douglas,WR,WR,0,0,0,0,21,0,31,447,3,46,0.0,-0.9672429888742043,28.142252345996887,27.175009357122683,67.3250093571227,Demario Douglas,WR,1.063333,1.03,1.03,0.0,WR,50.0,80.0,30.0,11.0,Major bargain
2025,WAS,00-0040242,Jacory Croskey-Merritt,RB,RB,0,0,0,0,805,8,9,68,0,13,0.0,-6.5307797417188995,1.0342133147642016,-5.496566426954698,64.4034335730453,Jacory Croskey-Merritt,RB,0.866357,0.945428,0.84,0.0,RB,28.0,60.0,32.0,3.0,Major bargain
2025,LV,00-0038563,Tre Tucker,WR,WR,0,0,0,0,51,0,57,696,5,92,0.0,-0.4695345525396988,21.81887260248699,21.349338049947292,87.9493380499473,Tre Tucker,WR,1.446568,1.23219,1.23219,0.0,WR,33.0,65.0,32.0,9.5,Major bargain
2025,CAR,00-0039491,Jalen Coker,WR,WR,0,0,0,0,0,0,33,394,3,43,0.0,0.0,21.855756275938127,21.855756275938127,58.80575627593813,Jalen Coker,WR,0.811667,0.811667,0.96,0.0,WR,56.0,88.0,32.0,9.5,Major bargain
2025,MIA,00-0039040,De'Von Achane,RB,RB,0,0,0,0,1350,8,67,488,4,85,0.0,14.038851955604883,-10.227876861455025,3.8109750941498586,148.46097509414986,Devon Achane,RB,1.482941,1.244314,1.244314,0.0,RB,6.0,39.0,33.0,2.0,Major bargain
2025,BAL,00-0039064,Zay Flowers,WR,WR,0,0,0,0,62,1,86,1211,5,118,0.0,2.4996555442921817,46.3842026584022,48.883858202694384,152.0338582026944,Zay Flowers,WR,3.82812,2.02604,1.58604,2.02604,WR,7.0,41.0,34.0,8.0,Major bargain
2025,CIN,00-0038597,Chase Brown,RB,RB,0,0,0,0,1019,6,69,437,5,88,0.0,-4.2413606580083725,-10.32908347672744,-14.570444134735812,108.4795558652642,Chase Brown,RB,1.101539,1.03,1.03,0.0,RB,12.0,48.0,36.0,1.0,Major bargain
2025,SEA,00-0038543,Jaxon Smith-Njigba,WR,WR,0,0,0,0,36,0,119,1793,10,163,0.0,0.0466578644700348,90.67234604483376,90.7190039093038,241.9190039093038,Jaxon Smith-Njigba,WR,3.931993,2.060664,1.550664,2.060664,WR,2.0,39.0,37.0,7.0,Major bargain
2025,DAL,00-0037247,George Pickens,WR,WR,0,0,0,0,0,0,93,1429,9,137,0.0,0.0,88.7427112801041,88.7427112801041,210.4427112801041,George Pickens,WR,3.656,3.656,3.656,0.0,WR,3.0,42.0,39.0,6.0,Major bargain
2025,DAL,00-0039410,Ryan Flournoy,WR,WR,0,0,0,0,25,0,40,475,4,56,0.0,0.472844568779692,28.634833070375905,29.107677639155597,76.1076776391556,Ryan Flournoy,WR,0.906667,0.906667,0.96,0.0,WR,45.0,85.0,40.0,5.0,Major bargain
2025,ARI,00-0038559,Michael Wilson,WR,WR,0,0,0,0,0,0,78,1006,7,126,0.0,0.0,25.75218070236765,25.75218070236765,116.55218070236764,Michael Wilson,WR,1.456217,1.235406,1.235406,0.0,WR,18.0,64.0,46.0,3.5,Major bargain
2025,NE,00-0038608,Kayshon Boutte,WR,WR,0,0,0,0,0,0,33,551,6,46,0.0,0.0,36.86034117618686,36.86034117618686,90.66034117618686,Kayshon Boutte,WR,1.076816,1.03,1.03,0.0,WR,31.0,77.0,46.0,3.5,Major bargain
2025,JAX,00-0038606,Parker Washington,WR,WR,0,0,0,0,0,0,58,847,5,95,0.0,-1.4225425639080198,29.718381770590817,28.295839206682796,100.1458392066828,Parker Washington,WR,1.078066,1.03,1.03,0.0,WR,27.0,76.0,49.0,2.0,Major bargain
2025,LA,00-0039075,Puka Nacua,WR,WR,0,0,0,0,105,1,129,1715,10,166,0.0,9.33105270966189,115.70040865301245,125.03146136267434,281.28146136267435,Puka Nacua,WR,1.091245,1.03,1.03,0.0,WR,1.0,75.0,74.0,1.0,Major bargain
