season,team,player,_merge
2021,TB,T.Brady,left_only
2021,ARI,A.Lee,left_only
2021,PIT,B.Roethlisberger,left_only
2021,SF,R.Gould,left_only
2021,GB,Aa.Rodgers,left_only
2021,WAS,R.Fitzpatrick,left_only
2021,ARI,M.Prater,left_only
2021,GB,M.Lewis,left_only
2021,BAL,S.Koch,left_only
2021,NE,N.Folk,left_only
2021,GB,M.Crosby,left_only
2021,TEN,B.Kern,left_only
2021,CAR,J.Jansen,left_only
2021,HOU,D.Amendola,left_only
2021,ATL,M.Ryan,left_only
2021,LA,D.Jackson,left_only
2021,BAL,C.Campbell,left_only
2021,LA,M.Stafford,left_only
2021,TB,S.McLendon,left_only
2021,NYG,G.Gano,left_only
2021,TB,R.Succop,left_only
2021,NO,M.Jenkins,left_only
2021,LAC,J.Cook,left_only
2021,CIN,K.Huber,left_only
2021,MIA,J.McCourty,left_only
2021,HOU,J.Weeks,left_only
2021,BAL,A.Levine,left_only
2021,NE,D.McCourty,left_only
2021,TB,R.Gronkowski,left_only
2021,SEA,C.Dunlap,left_only
2021,BUF,E.Sanders,left_only
2021,ARI,C.Peters,left_only
2021,HOU,A.Roberts,left_only
2021,CHI,J.Graham,left_only
2021,MIN,E.Griffen,left_only
2021,SEA,A.Woods,left_only
2021,TB,A.Brown,left_only
2021,TB,N.Suh,left_only
2021,PIT,J.Haden,left_only
2021,PIT,T.Alualu,left_only
2021,PHI,B.Graham,left_only
2021,TB,J.Pierre-Paul,left_only
2021,DEN,K.Jackson,left_only
2021,LAC,B.Bulaga,left_only
2021,BUF,J.Hughes,left_only
2021,LAC,L.Joseph,left_only
2021,DEN,V.Miller,left_only
2021,ARI,A.Green,left_only
2021,MIN,P.Peterson,left_only
2021,TEN,J.Jones,left_only
