season,team,player_id,player_name,position,position_group,passing_yards,passing_tds,passing_interceptions,sacks_suffered,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,targets,passing_epa,rushing_epa,receiving_epa,total_epa,production_score,contract_player_name,contract_position,cap_number,cash_paid,base_salary,guaranteed_salary,has_contract_match,has_missing_contract,position_final,meets_sample_threshold,sample_confidence,contract_confidence,overall_confidence,production_rank_position,cost_rank_position,player_surplus_gap,player_surplus_rank,player_value_tier
2021,BAL,00-0034796,Lamar Jackson,QB,QB,2882,16,13,38,767,2,0,0,0,0,18.436700874048647,15.515112108310792,0.0,33.95181298235944,103.62181298235944,Lamar Jackson,QB,3.013708,1.77159,1.77159,1.77159,True,False,QB,True,normal_sample,contract_matched,high,16.0,29.0,13.0,6.5,Strong bargain
2021,BAL,00-0035993,Tyler Huntley,QB,QB,1081,3,4,18,294,2,0,0,0,0,-30.697212040843034,15.720750949055612,0.0,-14.976461091787423,10.033538908212579,Tyler Huntley,QB,0.78,0.78,0.78,0.0,True,False,QB,True,normal_sample,contract_matched,high,28.0,36.0,8.0,12.0,Positive value
2021,BAL,00-0031285,Devonta Freeman,RB,RB,0,0,0,0,576,5,34,190,1,42,0.0,-2.9614123813637194,1.1618387021007948,-1.7995736792629247,63.00042632073708,Devonta Freeman,RB,0.802778,1.015278,1.075,0.0,True,False,RB,True,normal_sample,contract_matched,high,32.0,58.0,26.0,9.5,Major bargain
2021,BAL,00-0030513,Latavius Murray,RB,RB,0,0,0,0,501,6,10,75,0,13,0.0,-6.842852562328158,-0.5330616743885912,-7.375914236716749,41.92408576328325,Latavius Murray,RB,1.075,1.075,1.075,0.0,True,False,RB,True,normal_sample,contract_matched,high,48.0,43.0,-5.0,41.0,Negative value
2021,BAL,00-0034753,Mark Andrews,TE,TE,0,0,0,0,0,0,107,1361,9,153,0.0,-1.0924461375689134,56.07177659429325,54.979330456724334,176.77933045672432,Mark Andrews,TE,3.161776,11.083059,0.92,0.92,True,False,TE,True,normal_sample,contract_matched,high,1.0,20.0,19.0,3.5,Strong bargain
2021,BAL,00-0035662,Marquise Brown,WR,WR,0,0,0,0,5,0,91,1008,6,146,0.0,0.9444636923726648,11.889530107876272,12.833993800248937,104.23399380024894,Marquise Brown,WR,3.214729,1.566576,1.566576,1.566576,True,False,WR,True,normal_sample,contract_matched,high,32.0,41.0,9.0,44.0,Positive value
2021,BAL,00-0036331,Devin Duvernay,WR,WR,0,0,0,0,50,0,33,272,2,47,0.0,2.461163314874284,7.448230200625511,9.909393515499795,40.259393515499795,Devin Duvernay,WR,1.039958,0.817992,0.817992,0.0,True,False,WR,True,normal_sample,contract_matched,high,86.0,74.0,-12.0,67.5,Major overpay
2021,BAL,00-0036550,Rashod Bateman,WR,WR,0,0,0,0,0,0,46,515,1,68,0.0,0.0,14.884151672314442,14.884151672314442,55.134151672314445,Rashod Bateman,WR,2.290802,7.183208,0.66,0.66,True,False,WR,True,normal_sample,contract_matched,high,67.0,51.0,-16.0,72.5,Major overpay
2021,BAL,00-0031325,Sammy Watkins,WR,WR,0,0,0,0,0,0,27,394,1,49,0.0,0.0,-1.9972376012962414,-1.9972376012962414,27.45276239870376,Sammy Watkins,WR,5.0,5.0,1.25,1.25,True,False,WR,True,normal_sample,contract_matched,high,99.0,27.0,-72.0,101.0,Major overpay
2021,CLE,00-0034855,Baker Mayfield,QB,QB,3010,17,13,43,134,1,0,11,0,0,-5.397413046271426,6.111318557494082,0.0,0.7139055112226558,38.31390551122266,Baker Mayfield,QB,10.56913,5.10677,0.92,4.93677,True,False,QB,True,normal_sample,contract_matched,high,24.0,13.0,-11.0,30.5,Major overpay
2021,CLE,00-0035628,D'Ernest Johnson,RB,RB,0,0,0,0,534,3,19,137,0,25,0.0,6.4351156105985865,0.7006596530263778,7.135775263624964,54.43577526362497,D'Ernest Johnson,RB,0.85,0.85,0.85,0.0,True,False,RB,True,normal_sample,contract_matched,high,38.0,53.0,15.0,16.5,Strong bargain
2021,CLE,00-0034791,Nick Chubb,RB,RB,0,0,0,0,1259,8,20,174,1,25,0.0,10.630183949570217,8.125115893781185,18.755299843351402,122.40529984335141,Nick Chubb,RB,4.782381,12.92,0.92,0.92,True,False,RB,True,normal_sample,contract_matched,high,4.0,12.0,8.0,24.5,Positive value
2021,CLE,00-0033923,Kareem Hunt,RB,RB,0,0,0,0,386,5,22,174,0,27,0.0,6.589269161013421,2.827636903235966,9.416906064249387,57.91690606424939,Kareem Hunt,RB,5.0,5.0,1.3,2.8,True,False,RB,True,normal_sample,contract_matched,high,34.0,9.5,-24.5,61.0,Major overpay
2021,CLE,00-0033885,David Njoku,TE,TE,0,0,0,0,1,0,36,475,4,53,0.0,-0.5057117864489555,21.50712458865616,21.001412802207206,65.80141280220721,David Njoku,TE,6.013,6.013,6.013,6.013,True,False,TE,True,normal_sample,contract_matched,high,14.0,6.5,-7.5,29.0,Negative value
