season,team,total_cap_number,total_cash_paid,total_base_salary,total_guaranteed_salary,player_contract_count,cap_cost_rank,cash_paid_rank
2021,BAL,163.832188,208.864612,83.762471,35.835516,91,18.0,10.0
2021,CLE,174.623273,218.01238800000002,115.813914,55.37679,82,6.0,6.0
2021,DET,129.541157,170.209392,91.311231,46.685698,89,30.0,29.0
2021,NYG,165.270893,200.429843,89.936188,50.94256,89,16.0,13.0
2021,PHI,127.719994,209.835822,59.192005,18.851219,81,32.0,9.0
2022,BAL,177.526926,213.686495,115.094152,57.87987,82,19.0,20.0
2022,CLE,151.322572,257.797731,85.722515,44.518822,81,26.0,5.0
2022,DET,180.296816,219.88691599999999,103.002324,58.620181,82,17.0,16.0
2022,NYG,150.469918,173.970546,85.035411,71.082171,82,27.0,30.0
2022,PHI,153.984871,219.318789,78.824486,23.497041,78,25.0,17.0
2023,BAL,206.005299,286.472244,119.570484,47.543624,84,5.0,2.0
2023,CLE,197.049392,286.609336,109.762781,35.271538,85,11.0,1.0
2023,DET,192.523396,201.576993,126.424685,51.455781,81,13.0,26.0
2023,NYG,168.268721,234.51382900000002,96.413938,38.960283,82,25.0,15.0
2023,PHI,169.073716,252.015559,68.077629,34.9071,77,24.0,11.0
2024,BAL,228.833664,234.839149,126.091198,56.433621,79,5.0,23.0
2024,CLE,206.013046,291.3638,90.326708,41.793467,89,13.0,7.0
2024,DET,194.889056,301.795651,2256.557842,44.257657,86,20.0,4.0
2024,NYG,177.05381,218.210477,109.929318,65.694387,86,29.0,29.0
2024,PHI,187.052017,314.877238,72.773714,37.074529999999996,82,23.0,2.0
2025,BAL,228.844106,300.409419,121.721874,70.08053,79,18.0,8.0
2025,CLE,220.473423,295.958458,91.066737,42.286667,85,21.0,11.0
2025,DET,245.975013,287.093278,143.51391,95.04410800000001,84,10.0,18.0
2025,NYG,253.487985,299.721872,146.896013,75.746528,87,6.0,9.0
2025,PHI,190.462693,272.199132,74.45994,76.26758,77,29.0,22.0
