season,team,team_role,offensive_epa_per_play,defensive_epa_allowed_per_play,offense_rank,defense_rank,overall_rank
2021,BAL,Ravens - contender benchmark,0.00522993771649435,0.015750916499773296,16.0,24.0,22.0
2022,BAL,Ravens - contender benchmark,0.01125651318297813,-0.030290228838759283,12.0,11.0,7.0
2023,BAL,Ravens - contender benchmark,0.04958855608691684,-0.11282483612029721,6.0,2.0,2.0
2024,BAL,Ravens - contender benchmark,0.14005626208953403,0.008493656723801675,1.0,17.0,8.0
2025,BAL,Ravens - contender benchmark,0.04499354441533618,0.026523868136913077,12.0,19.0,16.0
2021,CLE,Browns - cap cautionary tale,-0.023951041086023476,0.0032595408521777255,20.0,21.0,23.0
2022,CLE,Browns - cap cautionary tale,-0.005126881193126395,0.009145085582395041,15.0,24.0,21.0
2023,CLE,Browns - cap cautionary tale,-0.0980886374460205,-0.14029270064604088,28.0,1.0,10.0
2024,CLE,Browns - cap cautionary tale,-0.15061744016889528,-0.011197059850445886,32.0,9.0,20.5
2025,CLE,Browns - cap cautionary tale,-0.15904136318611892,-0.07247624790144905,32.0,4.0,21.0
2021,DET,Lions - young-core benchmark,-0.0613233021028544,0.06103310270701401,24.0,30.0,28.0
2022,DET,Lions - young-core benchmark,0.04773557910704655,0.031425227978944016,4.0,30.0,14.0
2023,DET,Lions - young-core benchmark,0.018349588643283014,-0.03245506256015034,8.0,18.0,8.0
2024,DET,Lions - young-core benchmark,0.1395642290654919,-0.038346693662082695,2.0,6.0,1.0
2025,DET,Lions - young-core benchmark,0.0692061600702954,0.0155557700752718,8.0,13.0,6.0
2021,NYG,Giants - rebuild comparison,-0.1251044301594261,0.002125384725145114,31.0,20.0,27.0
2022,NYG,Giants - rebuild comparison,0.023792788672810542,0.03766717132210839,8.0,31.0,21.0
2023,NYG,Giants - rebuild comparison,-0.15029285807878684,-0.031677171117782836,30.0,19.0,29.5
2024,NYG,Giants - rebuild comparison,-0.08288747179105059,0.040408768091447875,29.0,22.0,28.5
2025,NYG,Giants - rebuild comparison,0.02629789216876199,0.06975137891428661,17.0,27.0,24.5
2021,PHI,Eagles - main case study,0.03960643610766337,-0.010782388740400849,10.0,15.0,12.5
2022,PHI,Eagles - main case study,0.056443323010179125,-0.05137473778308925,3.0,6.0,3.0
2023,PHI,Eagles - main case study,0.051592288845777934,0.04193582651808407,5.0,30.0,18.5
2024,PHI,Eagles - main case study,0.08007820985806438,-0.05787912496643606,7.0,3.0,2.0
2025,PHI,Eagles - main case study,0.012060260505231851,-0.03663537443446885,19.0,9.0,11.0
