season,team,offensive_plays,offensive_epa_total,offensive_epa_per_play,offensive_success_rate,defensive_plays,defensive_epa_allowed_total,defensive_epa_allowed_per_play,offense_rank,defense_rank,overall_efficiency_rank,overall_rank,total_cap_number,total_cash_paid,total_base_salary,total_guaranteed_salary,player_contract_count,cap_cost_rank,cash_paid_rank,performance_score,cost_score,surplus_rank_gap,surplus_tier,surplus_value_rank,team_role
2021,BAL,1524,7.923355640488939,0.0052299377164943,0.4501650165016501,1387,21.720513853187377,0.0157509164997732,16.0,24.0,40.0,22.0,163.832188,208.864612,83.762471,35.835516,91,18.0,10.0,11.0,15.0,-4.0,Negative value,22.0,Ravens - contender benchmark
2021,CLE,1371,-32.645269000249996,-0.0239510410860234,0.4218635363169479,1381,4.472090049187839,0.0032595408521777,20.0,21.0,41.0,23.0,174.623273,218.012388,115.813914,55.37679,82,6.0,6.0,10.0,27.0,-17.0,Major underperformance,30.0,Browns - cap cautionary tale
2021,DET,1397,-85.23938992296762,-0.0613233021028544,0.4093525179856115,1398,84.71394655733545,0.061033102707014,24.0,30.0,54.0,28.0,129.541157,170.209392,91.311231,46.685698,89,30.0,29.0,5.0,3.0,2.0,Fair value,14.0,Lions - young-core benchmark
2021,NYG,1379,-171.39306931841375,-0.1251044301594261,0.3897810218978102,1435,3.032924002782077,0.0021253847251451,31.0,20.0,51.0,27.0,165.270893,200.429843,89.936188,50.94256,89,16.0,13.0,6.0,17.0,-11.0,Major underperformance,27.5,Giants - rebuild comparison
2021,PHI,1388,54.77570113689845,0.0396064361076633,0.457700650759219,1414,-15.11690901404199,-0.0107823887404008,10.0,15.0,25.0,12.5,127.719994,209.835822,59.192005,18.851219,81,32.0,9.0,20.5,1.0,19.5,Strong surplus value,2.0,Eagles - main case study
2022,BAL,1361,15.185036283837498,0.0112565131829781,0.4395848776871757,1351,-40.77064801696999,-0.0302902288387592,12.0,11.0,23.0,7.0,177.526926,213.686495,115.094152,57.87987,82,19.0,20.0,26.0,14.0,12.0,Strong surplus value,3.0,Ravens - contender benchmark
2022,CLE,1434,-7.326313224977618,-0.0051268811931263,0.4345696291112666,1371,12.42817130647486,0.009145085582395,15.0,24.0,39.0,21.0,151.322572,257.797731,85.722515,44.518822,81,26.0,5.0,12.0,7.0,5.0,Positive value,12.0,Browns - cap cautionary tale
2022,DET,1421,67.35490212004268,0.0477355791070465,0.4500354358610914,1406,43.96389394254268,0.031425227978944,4.0,30.0,34.0,14.0,180.296816,219.886916,103.002324,58.620181,82,17.0,16.0,19.0,16.0,3.0,Fair value,13.0,Lions - young-core benchmark
2022,NYG,1429,33.83334549273659,0.0237927886728105,0.4395218002812939,1420,53.11071156417283,0.0376671713221083,8.0,31.0,39.0,21.0,150.469918,173.970546,85.035411,71.082171,82,27.0,30.0,12.0,6.0,6.0,Positive value,9.5,Giants - rebuild comparison
2022,PHI,1455,81.3912717806783,0.0564433230101791,0.4646324549237171,1390,-71.2053865673617,-0.0513747377830892,3.0,6.0,9.0,3.0,153.984871,219.318789,78.824486,23.497041,78,25.0,17.0,30.0,8.0,22.0,Strong surplus value,1.0,Eagles - main case study
2023,BAL,1412,69.4735670777705,0.0495885560869168,0.4725196288365453,1461,-164.16013655503244,-0.1128248361202972,6.0,2.0,8.0,2.0,206.005299,286.472244,119.570484,47.543624,84,5.0,2.0,31.0,28.0,3.0,Fair value,12.5,Ravens - contender benchmark
2023,CLE,1534,-149.68326074262728,-0.0980886374460205,0.3977719528178244,1409,-196.4097809044572,-0.1402927006460408,28.0,1.0,29.0,10.0,197.049392,286.609336,109.762781,35.271538,85,11.0,1.0,23.0,22.0,1.0,Fair value,15.5,Browns - cap cautionary tale
2023,DET,1455,26.47845641225739,0.018349588643283,0.437976437976438,1375,-44.46343570740597,-0.0324550625601503,8.0,18.0,26.0,8.0,192.523396,201.576993,126.424685,51.455781,81,13.0,26.0,25.0,20.0,5.0,Positive value,11.0,Lions - young-core benchmark
2023,NYG,1397,-208.7567798714349,-0.1502928580787868,0.3765298776097912,1402,-44.12629936707149,-0.0316771711177828,30.0,19.0,49.0,29.5,168.268721,234.513829,96.413938,38.960283,82,25.0,15.0,3.5,8.0,-4.5,Negative value,21.0,Giants - rebuild comparison
2023,PHI,1433,73.31264244985044,0.0515922888457779,0.4532019704433497,1438,60.094039400414474,0.041935826518084,5.0,30.0,35.0,18.5,169.073716,252.015559,68.077629,34.9071,77,24.0,11.0,14.5,9.0,5.5,Positive value,10.0,Eagles - main case study
