season,team,player_id,player_name,position,position_group,passing_yards,passing_tds,passing_interceptions,sacks_suffered,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,targets,passing_epa,rushing_epa,receiving_epa,total_epa,production_score,contract_player_name,contract_position,cap_number,cash_paid,base_salary,guaranteed_salary,position_final,production_rank_position,cost_rank_position,player_surplus_gap,player_surplus_rank,player_value_tier
2021,ARI,00-0027942,A.J. Green,WR,WR,0,0,0,0,0,0,54,848,3,92,0.0,0.0,28.473385656513347,28.473385656513347,93.37338565651335,A.J. Green,WR,3.5,7.0,2.25,2.25,WR,39.0,37.0,-2.0,58.5,Fair value
2021,ARI,00-0030061,Zach Ertz,TE,TE,0,0,0,0,4,0,56,574,3,81,0.0,0.4552927357144654,6.708655235978004,7.163947971692469,59.06394797169247,Zach Ertz,TE,5.666667,5.666667,8.5,0.0,TE,20.0,11.0,-9.0,31.5,Negative value
2021,ARI,00-0030564,DeAndre Hopkins,WR,WR,0,0,0,0,0,0,42,572,8,64,0.0,0.0,42.37796969614686,42.37796969614686,105.47796969614686,DeAndre Hopkins,WR,12.5,13.75,4.75,4.75,WR,31.0,10.0,-21.0,78.0,Major overpay
2021,ARI,00-0033553,James Conner,RB,RB,0,0,0,0,752,15,37,375,3,39,0.0,-3.6518716434722105,25.128244514518883,21.47637287104667,141.07637287104666,James Conner,RB,1.75,1.75,1.25,1.25,RB,3.0,30.0,27.0,7.0,Major bargain
2021,ARI,00-0034681,Chase Edmonds,RB,RB,0,0,0,0,592,2,43,311,0,53,0.0,11.634678101919178,-4.272553728302632,7.362124373616546,69.26212437361654,Chase Edmonds,RB,1.033089,0.92,0.92,0.0,RB,24.0,47.0,23.0,12.0,Major bargain
2021,ARI,00-0034775,Christian Kirk,WR,WR,33,0,0,0,11,0,77,982,5,103,3.0305774064618163,0.6512457074131817,51.099387971530916,54.781211085405914,139.0112110854059,Christian Kirk,WR,3.024795,2.433,2.433,0.0,WR,15.0,44.0,29.0,25.0,Major bargain
2021,ARI,00-0035228,Kyler Murray,QB,QB,3787,24,10,31,423,5,0,7,0,0,64.44055304935745,4.642070294140574,0.0,69.08262334349803,163.70262334349803,Kyler Murray,QB,9.763721,3.86624,0.85,3.69124,QB,10.0,16.0,6.0,14.0,Positive value
2021,ARI,00-0036936,Rondale Moore,WR,WR,0,0,0,0,76,0,54,435,1,64,0.0,-0.16007382501265965,1.4988294399605677,1.338755614947908,43.38875561494791,Rondale Moore,WR,1.258955,3.05582,0.66,0.66,WR,82.0,67.0,-15.0,71.0,Major overpay
2021,ATL,00-0026143,Matt Ryan,QB,QB,3968,20,12,40,82,1,0,0,0,0,6.330791799200408,-17.84899176361524,0.0,-11.51819996441483,41.261800035585175,Matt Ryan,QB,26.9125,23.0,2.0,0.0,QB,23.0,4.0,-19.0,35.0,Major overpay
2021,ATL,00-0030578,Cordarrelle Patterson,RB,RB,0,0,0,0,618,6,52,548,5,69,-0.5996399439172819,-15.485663559607929,19.0910259758063,3.0057224722810894,107.3057224722811,Cordarrelle Patterson,RB,3.0,3.0,1.3,0.0,RB,12.0,17.5,5.5,29.5,Positive value
2021,ATL,00-0032063,Mike Davis,RB,RB,0,0,0,0,503,3,44,259,1,58,0.0,-17.808107149001444,-23.21665930790607,-41.024766456907514,20.075233543092487,Mike Davis,RB,2.25,3.0,1.5,1.5,RB,64.0,24.0,-40.0,66.0,Major overpay
2021,ATL,00-0034411,Russell Gage,WR,WR,0,0,0,0,0,0,66,770,4,94,0.0,0.0,9.49708630586398,9.49708630586398,76.49708630586397,Russell Gage,WR,2.222048,2.183,2.183,0.0,WR,51.0,53.0,2.0,51.5,Fair value
2021,ATL,00-0034837,Calvin Ridley,WR,WR,0,0,0,0,0,0,31,281,2,52,0.0,0.0,7.901234673704039,7.901234673704039,35.701234673704036,Calvin Ridley,WR,3.468415,1.966464,1.966464,0.972809,WR,89.0,38.0,-51.0,92.0,Major overpay
2021,ATL,00-0035208,Olamide Zaccheaus,WR,WR,0,0,0,0,2,0,31,406,3,53,0.0,0.5175025649368763,11.59271291705966,12.110215481996537,49.26021548199654,Olamide Zaccheaus,WR,0.851668,0.85,0.85,0.0,WR,71.0,87.0,16.0,36.0,Strong bargain
2021,ATL,00-0036970,Kyle Pitts,TE,TE,0,0,0,0,0,0,68,1026,1,110,0.0,0.0,26.331114934679142,26.331114934679142,97.63111493467915,Kyle Pitts,TE,5.983726,21.954904,0.66,0.66,TE,9.0,8.0,-1.0,18.5,Fair value
