season,player_name,team,position_final,cap_number,production_score,total_epa,production_rank_position,cost_rank_position,player_surplus_gap,player_value_tier
2023,Puka Nacua,LA,WR,0.811245,194.67579401431547,71.67579401431547,4.0,92.0,88.0,Major bargain
2024,Puka Nacua,LA,WR,0.976245,138.04102076017674,54.49102076017674,15.0,93.0,78.0,Major bargain
2023,Amon-Ra St. Brown,DET,WR,1.136315,207.05439331275147,70.60439331275147,3.0,79.0,76.0,Major bargain
2022,Amon-Ra St. Brown,DET,WR,1.021315,169.34701008063655,62.04701008063653,8.0,83.0,75.0,Major bargain
2025,Puka Nacua,LA,WR,1.091245,281.28146136267435,125.03146136267434,1.0,75.0,74.0,Major bargain
2021,Amon-Ra St. Brown,DET,WR,0.856315,147.47833435664032,58.328334356640326,13.0,85.0,72.0,Major bargain
2021,Hunter Renfrow,LV,WR,0.928987,153.6504707485502,48.85047074855018,10.0,81.0,71.0,Major bargain
2023,Nico Collins,HOU,WR,1.328595,181.70238889168056,72.50238889168057,8.0,74.0,66.0,Major bargain
2024,Ladd McConkey,LAC,WR,1.817306,164.65744334692658,65.70744334692658,6.0,65.0,59.0,Major bargain
2021,Antonio Brown,TB,WR,0.0,84.31221475956747,34.26221475956746,45.0,103.5,58.5,Major bargain
2021,Marquez Callaway,NO,WR,0.783333,92.36885519003948,27.968855190039477,41.0,99.0,58.0,Major bargain
2024,Khalil Shakir,BUF,WR,1.071788,115.4444834181761,43.1944834181761,28.0,85.0,57.0,Major bargain
2023,Jayden Reed,GB,WR,1.305596,130.48668910204927,38.88668910204926,19.0,75.0,56.0,Major bargain
2021,Allen Lazard,GB,WR,0.85,100.59434218231031,39.344342182310314,35.0,91.0,56.0,Major bargain
2021,Deebo Samuel Sr.,SF,WR,2.099279,230.16766970101935,78.17766970101938,2.0,56.0,54.0,Major bargain
2023,Rashee Rice,KC,WR,1.180949,124.77028502302232,37.27028502302231,24.0,78.0,54.0,Major bargain
2021,Diontae Johnson,PIT,WR,1.167535,137.43647980532978,25.986479805329775,16.0,70.0,54.0,Major bargain
2023,Tank Dell,HOU,WR,0.951049,99.64246435632876,29.14246435632877,35.0,89.0,54.0,Major bargain
2022,Rashid Shaheed,NO,WR,0.509167,78.88843674094575,35.63843674094574,46.0,98.0,52.0,Major bargain
2024,Devaughn Vele,DEN,WR,0.82112,78.08660535645322,35.08660535645322,48.0,100.0,52.0,Major bargain
2023,De'Von Achane,MIA,RB,0.905293,122.64196534061344,33.29196534061345,4.0,55.0,51.0,Major bargain
2024,DeMario Douglas,NE,WR,0.948333,78.91141757554999,21.56141757554999,47.0,97.0,50.0,Major bargain
2022,Christian McCaffrey,SF,RB,0.69,135.05186249853563,29.21186249853561,5.0,55.0,50.0,Major bargain
2022,George Pickens,PIT,WR,1.22767,116.68276348530054,47.432763485300526,22.0,72.0,50.0,Major bargain
2023,Kyren Williams,LA,RB,0.947602,128.38919794140315,7.8891979414031645,3.0,52.0,49.0,Major bargain
