season,team,offensive_plays,offensive_epa_total,offensive_epa_per_play,offensive_success_rate,defensive_plays,defensive_epa_allowed_total,defensive_epa_allowed_per_play,offense_rank,defense_rank,overall_efficiency_rank,overall_rank,total_cap_number,total_cash_paid,total_base_salary,total_guaranteed_salary,player_contract_count,cap_cost_rank,cash_paid_rank,performance_score,cost_score,surplus_rank_gap,surplus_tier,surplus_value_rank
2021,LA,1361,69.32154814631988,0.0512354383934367,0.4538063562453806,1455,-41.403199694827194,-0.0286329181845277,5.0,12.0,17.0,5.0,137.729328,182.420152,86.662088,35.463392,84,29.0,24.0,28.0,4.0,24.0,Strong surplus value,1.0
2021,PHI,1388,54.77570113689845,0.0396064361076633,0.457700650759219,1414,-15.11690901404199,-0.0107823887404008,10.0,15.0,25.0,12.5,127.719994,209.835822,59.192005,18.851219,81,32.0,9.0,20.5,1.0,19.5,Strong surplus value,2.0
2021,NO,1390,-120.90920674587429,-0.0877425302945386,0.4005805515239477,1394,-153.64310708006815,-0.110614187962612,28.0,2.0,30.0,14.0,137.813988,200.776683,74.236303,33.545204,82,28.0,12.0,19.0,5.0,14.0,Strong surplus value,3.0
2021,TEN,1470,2.424185312618103,0.0016592644165763,0.4421629021218343,1380,-62.35033128441595,-0.0454448478749387,17.0,8.0,25.0,12.5,150.87417399999998,190.26222,114.662135,39.81224,84,25.0,21.0,20.5,8.0,12.5,Strong surplus value,4.0
2021,NE,1374,59.890913962650835,0.0438440072933022,0.4780380673499268,1353,-121.03913076073908,-0.0900588770541213,8.0,3.0,11.0,4.0,168.292836,226.713309,100.153988,38.109986,81,15.0,3.0,29.0,18.0,11.0,Strong surplus value,5.0
2021,CAR,1427,-183.0780953071643,-0.1287469024663602,0.4022503516174402,1379,-68.15885732021162,-0.0498601736065922,32.0,7.0,39.0,21.0,129.370517,164.050891,75.774239,26.581442,82,31.0,30.0,12.0,2.0,10.0,Strong surplus value,6.5
2021,TB,1467,109.18138324284872,0.0748843506466726,0.47599451303155,1440,-78.92711310357197,-0.0551166990946731,3.0,5.0,8.0,2.0,170.240584,255.632002,120.738451,60.042344,78,12.0,1.0,31.0,21.0,10.0,Strong surplus value,6.5
2021,CIN,1383,43.03257690845301,0.0313648519740911,0.4402332361516035,1424,-50.73589264012703,-0.035779896079074,12.0,9.0,21.0,7.0,170.163136,191.904588,101.622368,25.067602,83,13.0,19.0,26.0,20.0,6.0,Positive value,8.5
2021,PIT,1469,-86.29449594457839,-0.0591868970813294,0.3950617283950617,1481,-33.77785753821936,-0.0229002423987927,22.0,13.0,35.0,20.0,148.377109,176.252586,72.496556,11.41025,79,26.0,27.0,13.0,7.0,6.0,Positive value,8.5
2021,DEN,1340,14.038920487062391,0.0105160453086609,0.4374531835205992,1342,1.525866197418407,0.0011472678176078,15.0,19.0,34.0,18.5,151.11016899999998,177.101809,108.47245,53.182413,84,24.0,26.0,14.5,9.0,5.5,Positive value,10.0
2021,SEA,1275,20.99048628717212,0.0165670767854555,0.4380426203630623,1545,-6.158665520251131,-0.0040095478647468,14.0,18.0,32.0,15.5,159.669687,196.932822,101.456661,42.74874,79,20.0,15.0,17.5,13.0,4.5,Positive value,11.0
2021,KC,1459,162.5750787173431,0.1121981219581387,0.4968944099378882,1387,20.08324304042712,0.0145530746669761,1.0,23.0,24.0,10.5,168.724587,198.271998,107.400715,77.56262,79,14.0,14.0,22.5,19.0,3.5,Fair value,12.0
2021,BUF,1457,75.89694025712836,0.0524875105512644,0.466804979253112,1357,-151.93030238038057,-0.1124576627537976,4.0,1.0,5.0,1.0,177.980098,222.153617,98.476251,64.558197,73,4.0,4.0,32.0,29.0,3.0,Fair value,13.0
2021,DET,1397,-85.23938992296762,-0.0613233021028544,0.4093525179856115,1398,84.71394655733545,0.061033102707014,24.0,30.0,54.0,28.0,129.541157,170.209392,91.311231,46.685698,89,30.0,29.0,5.0,3.0,2.0,Fair value,14.0
2021,MIN,1440,-7.317232825615129,-0.0051026728212099,0.405857740585774,1496,-17.89768818035856,-0.0120523152729687,18.0,14.0,32.0,15.5,164.448342,196.54167,102.487673,54.259353,82,17.0,16.0,17.5,16.0,1.5,Fair value,15.0
2021,GB,1384,122.20676514419964,0.08894233271048,0.4767103347889374,1337,18.834044547261943,0.014160935749821,2.0,22.0,24.0,10.5,171.364022,186.261063,73.088516,16.808532,79,10.0,22.0,22.5,23.0,-0.5,Fair value,16.0
2021,ARI,1454,41.380283440407894,0.0286368743532234,0.4546712802768166,1368,-68.11647545523128,-0.0500856437170818,13.0,6.0,19.0,6.0,176.21109,194.146095,123.009006,54.615368,80,5.0,18.0,27.0,28.0,-1.0,Fair value,18.0
2021,DAL,1521,75.47353523093685,0.0499493945936048,0.4559894109861019,1459,-126.5523594697118,-0.0871572723620604,6.0,4.0,10.0,3.0,180.302823,248.229932,115.00376,55.599741,82,2.0,2.0,30.0,31.0,-1.0,Fair value,18.0
