season,overall_confidence,contract_confidence,sample_confidence,meets_sample_threshold,player_count
2021,high,contract_matched,normal_sample,True,242
2021,low,contract_matched,low_sample,False,365
2021,low,missing_contract,low_sample,False,51
2021,low,missing_contract,normal_sample,True,3
2022,high,contract_matched,normal_sample,True,231
2022,low,contract_matched,low_sample,False,351
2022,low,missing_contract,low_sample,False,48
2022,low,missing_contract,normal_sample,True,8
2023,high,contract_matched,normal_sample,True,231
2023,low,contract_matched,low_sample,False,324
2023,low,missing_contract,low_sample,False,31
2023,low,missing_contract,normal_sample,True,2
2024,high,contract_matched,normal_sample,True,233
2024,low,contract_matched,low_sample,False,339
2024,low,missing_contract,low_sample,False,33
2024,low,missing_contract,normal_sample,True,3
2025,high,contract_matched,normal_sample,True,228
2025,low,contract_matched,low_sample,False,363
2025,low,missing_contract,low_sample,False,42
2025,low,missing_contract,normal_sample,True,2
