position_final,estimated_contract_stage,players_evaluated,avg_surplus_gap,median_surplus_gap,pct_positive_surplus,pct_strong_surplus,avg_cap_number,avg_production_score,avg_total_epa,rookie_contract_rate
WR,rookie_contract,248,13.141129032258064,15.0,0.6895161290322581,0.5604838709677419,2.5693265443548388,88.08638428177534,23.172513314033395,1.0
TE,rookie_contract,78,7.423076923076923,9.0,0.717948717948718,0.48717948717948717,2.392930615384615,69.88844901223773,17.64678234557106,1.0
RB,rookie_contract,152,5.641447368421052,6.0,0.625,0.4276315789473684,1.8411088289473685,68.99026386359863,-7.664670346927682,1.0
QB,undrafted_or_unmatched,8,5.375,4.5,0.875,0.125,1.627118125,13.178142233442296,-15.286857766557706,0.0
RB,undrafted_or_unmatched,38,4.5131578947368425,6.25,0.6842105263157895,0.3684210526315789,1.8762782105263156,59.11842731582998,-0.8144674210121232,0.0
QB,rookie_contract,74,4.351351351351352,3.5,0.581081081081081,0.35135135135135137,5.753099837837837,70.81709405910692,11.24790486991773,1.0
WR,undrafted_or_unmatched,55,2.4363636363636365,3.5,0.6,0.45454545454545453,2.9053227454545456,64.421325556532,16.24296192016836,0.0
QB,possible_fifth_year_option,12,1.6666666666666667,2.5,0.5833333333333334,0.25,15.702015000000001,144.04866944183593,66.98033610850258,1.0
TE,undrafted_or_unmatched,15,0.16666666666666666,0.0,0.4,0.2,2.6794592666666666,50.32389919725609,10.221899197256084,0.0
QB,second_contract_or_later,99,-4.070707070707071,-3.0,0.40404040404040403,0.10101010101010101,19.602198252525252,97.55151422711795,35.99575665136038,0.0
TE,possible_fifth_year_option,6,-6.5,-3.25,0.5,0.16666666666666666,6.370411,70.28238440772462,16.265717741057944,1.0
TE,second_contract_or_later,83,-6.692771084337349,-7.0,0.26506024096385544,0.08433734939759036,7.67888726506024,72.60933596955724,18.1334323550994,0.0
RB,second_contract_or_later,108,-9.101851851851851,-9.0,0.26851851851851855,0.12962962962962962,4.752337037037036,70.61903548522035,-7.762168218483346,0.0
WR,possible_fifth_year_option,11,-12.318181818181818,-1.0,0.36363636363636365,0.2727272727272727,10.393104727272727,116.40293834763935,31.302938347639337,1.0
RB,possible_fifth_year_option,6,-15.0,-10.0,0.16666666666666666,0.16666666666666666,6.821750000000001,79.59330793712739,-6.556692062872602,1.0
WR,second_contract_or_later,172,-19.857558139534884,-15.0,0.26744186046511625,0.10465116279069768,9.101086534883722,86.34539922601445,21.84999224927026,0.0
