position_final,cost_tier,estimated_contract_stage,players_evaluated,avg_surplus_gap,median_surplus_gap,pct_positive_surplus,pct_strong_surplus,avg_cap_number,avg_production_score,avg_total_epa,rookie_contract_rate
WR,Low cost,rookie_contract,206,15.339805825242719,17.0,0.6990291262135923,0.5776699029126213,1.8521720533980581,80.49329647121155,20.534752781891147,1.0
WR,Low cost,undrafted_or_unmatched,42,13.166666666666666,12.5,0.7619047619047619,0.5714285714285714,1.4686029047619047,61.15752055185006,16.55656817089768,0.0
QB,Low cost,possible_fifth_year_option,1,12.0,12.0,1.0,1.0,2.558,73.92734438676331,39.417344386763304,1.0
RB,Low cost,possible_fifth_year_option,1,11.0,11.0,1.0,1.0,3.25,117.87173587998092,7.321735879980937,1.0
TE,Low cost,rookie_contract,69,8.521739130434783,10.0,0.7536231884057971,0.5072463768115942,1.7715473913043478,66.85410570831665,16.575844838751433,1.0
QB,Low cost,rookie_contract,28,8.142857142857142,5.5,0.6785714285714286,0.35714285714285715,1.8724411785714286,44.56109430273185,-2.6510485544110054,1.0
QB,Low cost,second_contract_or_later,16,7.1875,7.0,0.875,0.3125,2.31418975,38.288225056227525,2.9794750562275216,0.0
RB,Low cost,undrafted_or_unmatched,34,7.161764705882353,7.0,0.7058823529411765,0.4117647058823529,1.361722705882353,54.7334236165194,0.473129498872344,0.0
RB,Low cost,rookie_contract,140,7.017857142857143,6.5,0.6428571428571429,0.44285714285714284,1.5428286142857142,65.87135801370937,-7.811213414862052,1.0
QB,Low cost,undrafted_or_unmatched,8,5.375,4.5,0.875,0.125,1.627118125,13.178142233442296,-15.286857766557706,0.0
QB,Mid cost,possible_fifth_year_option,3,5.333333333333333,4.0,0.6666666666666666,0.3333333333333333,8.319460333333334,146.0711711473323,74.9711711473323,1.0
RB,No/missing cost,second_contract_or_later,1,5.0,5.0,1.0,0.0,0.0,27.113568594444978,-2.686431405555023,0.0
TE,Low cost,second_contract_or_later,17,4.088235294117647,6.0,0.5882352941176471,0.4117647058823529,2.805677117647059,69.96802738031303,20.832733262665972,0.0
QB,Mid cost,rookie_contract,39,3.2051282051282053,4.0,0.5897435897435898,0.38461538461538464,7.305880717948718,87.40505049554619,19.844281264776967,1.0
TE,High cost,possible_fifth_year_option,1,3.0,3.0,1.0,0.0,10.878,107.98395235566966,24.583952355669652,1.0
WR,Mid cost,rookie_contract,42,2.357142857142857,8.0,0.6428571428571429,0.47619047619047616,6.086798571428572,125.32867211454062,36.11010068596919,1.0
TE,Low cost,possible_fifth_year_option,1,1.0,1.0,1.0,0.0,3.476466,60.43415308592695,20.734153085926952,1.0
TE,Low cost,undrafted_or_unmatched,12,0.7083333333333334,0.0,0.4166666666666667,0.16666666666666666,1.8523240833333334,43.483415997880535,7.291749331213861,0.0
TE,Mid cost,rookie_contract,8,0.625,1.0,0.5,0.375,6.7425370000000004,97.19652785687653,28.221527856876527,1.0
