position_final,draft_capital_bucket,players_evaluated,avg_surplus_gap,median_surplus_gap,pct_positive_surplus,pct_strong_surplus,avg_cap_number,avg_production_score,avg_total_epa,rookie_contract_rate
WR,rounds_6_7,40,17.525,19.5,0.775,0.625,1.44294115,59.59103888293116,13.739038882931164,0.775
QB,rounds_6_7,10,9.9,8.5,0.8,0.4,5.34286,103.246724805071,46.478724805070996,0.4
WR,rounds_4_5,73,7.821917808219178,6.0,0.6027397260273972,0.3972602739726027,3.9683592328767126,89.66295034882282,25.25363528032967,0.5205479452054794
RB,rounds_6_7,22,7.045454545454546,4.75,0.6363636363636364,0.45454545454545453,1.0039772272727274,43.52117397293081,-8.542462390705554,0.7727272727272727
QB,undrafted_or_unmatched,8,5.375,4.5,0.875,0.125,1.627118125,13.178142233442296,-15.286857766557706,0.0
RB,undrafted_or_unmatched,38,4.5131578947368425,6.25,0.6842105263157895,0.3684210526315789,1.8762782105263156,59.11842731582998,-0.8144674210121232,0.0
RB,rounds_4_5,75,2.7266666666666666,2.0,0.56,0.3333333333333333,2.0395712133333332,57.26509706938644,-8.217169597280229,0.6133333333333333
WR,undrafted_or_unmatched,55,2.4363636363636365,3.5,0.6,0.45454545454545453,2.9053227454545456,64.421325556532,16.24296192016836,0.0
TE,rounds_4_5,54,1.8611111111111112,1.75,0.5370370370370371,0.2777777777777778,3.68284087037037,63.55676575895062,14.823432425617284,0.5740740740740741
QB,round_2,22,1.2727272727272727,0.0,0.45454545454545453,0.22727272727272727,11.485216227272728,84.25218415571094,23.178547792074564,0.2727272727272727
TE,round_3,31,1.2580645161290323,-1.0,0.45161290322580644,0.25806451612903225,6.431844612903226,83.157047285887,23.902208576209585,0.3548387096774194
TE,round_2,45,0.5111111111111111,0.0,0.4888888888888889,0.3333333333333333,5.318087333333334,76.23135614371544,21.489133921493213,0.4666666666666667
TE,undrafted_or_unmatched,15,0.16666666666666666,0.0,0.4,0.2,2.6794592666666666,50.32389919725609,10.221899197256084,0.0
QB,round_1,123,-0.7154471544715447,-1.0,0.4796747967479675,0.23577235772357724,14.945213577235773,100.6784042204771,34.61970503348524,0.5365853658536586
RB,round_2,61,-1.7131147540983607,-1.0,0.4426229508196721,0.2786885245901639,4.064829622950819,84.34069306010767,-6.218651202187413,0.5901639344262295
QB,round_3,11,-1.8636363636363635,1.0,0.5454545454545454,0.09090909090909091,8.490469909090908,32.13018639521068,-16.37799542297114,0.2727272727272727
RB,round_3,65,-1.9923076923076923,-3.0,0.4307692307692308,0.2923076923076923,2.850732030769231,62.64496850012218,-6.724416115262434,0.47692307692307695
WR,round_3,64,-2.6484375,0.5,0.5,0.296875,6.817444640625,86.41717939556733,22.518898145567324,0.53125
TE,round_1,33,-3.9393939393939394,-1.0,0.48484848484848486,0.24242424242424243,6.042267848484848,68.66853085339044,13.191258126117711,0.6363636363636364
QB,rounds_4_5,19,-4.184210526315789,-1.0,0.3684210526315789,0.0,16.68481047368421,52.829359643066795,7.731991222014162,0.3684210526315789
WR,round_2,121,-4.950413223140496,-5.0,0.4214876033057851,0.3305785123966942,5.475580181818182,82.73982755835392,19.8724721864531,0.5371900826446281
WR,round_1,133,-5.981203007518797,-2.0,0.47368421052631576,0.3533834586466165,6.546123984962406,101.54893792421319,27.14630634526582,0.6842105263157895
RB,round_1,43,-7.930232558139535,-9.0,0.32558139534883723,0.20930232558139536,5.249393325581395,95.8577314072229,-9.814826732311978,0.6511627906976745
TE,rounds_6_7,4,-12.0,-10.5,0.0,0.0,6.3123344999999995,48.290463349807766,8.840463349807768,0.0
