season,team,player_id,player_name,position,position_group,passing_yards,passing_tds,passing_interceptions,sacks_suffered,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,targets,passing_epa,rushing_epa,receiving_epa,total_epa,production_score,contract_player_name,contract_position,cap_number,cash_paid,base_salary,guaranteed_salary,has_contract_match,has_missing_contract,position_final,meets_sample_threshold,sample_confidence,contract_confidence,overall_confidence,production_rank_position,cost_rank_position,player_surplus_gap,player_surplus_rank,player_value_tier,draft_year,draft_team,draft_round,draft_pick,years_since_drafted,draft_capital_bucket,estimated_contract_stage,is_likely_rookie_contract,surplus_context
2025,LA,00-0039075,Puka Nacua,WR,WR,0,0,0,0,105,1,129,1715,10,166,0.0,9.33105270966189,115.70040865301245,125.03146136267434,281.28146136267435,Puka Nacua,WR,1.091245,1.03,1.03,,True,False,WR,True,normal_sample,contract_matched,high,1.0,75.0,74.0,1.0,Major bargain,2023,LAR,5,177,2,rounds_4_5,rookie_contract,True,rookie_contract_surplus
2025,JAX,00-0038606,Parker Washington,WR,WR,0,0,0,0,0,0,58,847,5,95,0.0,-1.4225425639080198,29.718381770590817,28.295839206682796,100.1458392066828,Parker Washington,WR,1.078066,1.03,1.03,,True,False,WR,True,normal_sample,contract_matched,high,27.0,76.0,49.0,2.0,Major bargain,2023,JAX,6,185,2,rounds_6_7,rookie_contract,True,rookie_contract_surplus
2025,ARI,00-0038559,Michael Wilson,WR,WR,0,0,0,0,0,0,78,1006,7,126,0.0,0.0,25.75218070236765,25.75218070236765,116.55218070236764,Michael Wilson,WR,1.456217,1.235406,1.235406,,True,False,WR,True,normal_sample,contract_matched,high,18.0,64.0,46.0,3.5,Major bargain,2023,ARI,3,94,2,round_3,rookie_contract,True,rookie_contract_surplus
2025,NE,00-0038608,Kayshon Boutte,WR,WR,0,0,0,0,0,0,33,551,6,46,0.0,0.0,36.86034117618686,36.86034117618686,90.66034117618686,Kayshon Boutte,WR,1.076816,1.03,1.03,,True,False,WR,True,normal_sample,contract_matched,high,31.0,77.0,46.0,3.5,Major bargain,2023,NWE,6,187,2,rounds_6_7,rookie_contract,True,rookie_contract_surplus
2025,DAL,00-0039410,Ryan Flournoy,WR,WR,0,0,0,0,25,0,40,475,4,56,0.0,0.472844568779692,28.634833070375905,29.107677639155597,76.1076776391556,Ryan Flournoy,WR,0.906667,0.906667,0.96,,True,False,WR,True,normal_sample,contract_matched,high,45.0,85.0,40.0,5.0,Major bargain,2024,DAL,6,216,1,rounds_6_7,rookie_contract,True,rookie_contract_surplus
2025,DAL,00-0037247,George Pickens,WR,WR,0,0,0,0,0,0,93,1429,9,137,0.0,0.0,88.7427112801041,88.7427112801041,210.4427112801041,George Pickens,WR,3.656,3.656,3.656,0.0,True,False,WR,True,normal_sample,contract_matched,high,3.0,42.0,39.0,6.0,Major bargain,2022,PIT,2,52,3,round_2,rookie_contract,True,rookie_contract_surplus
2025,SEA,00-0038543,Jaxon Smith-Njigba,WR,WR,0,0,0,0,36,0,119,1793,10,163,0.0,0.0466578644700348,90.67234604483376,90.7190039093038,241.9190039093038,Jaxon Smith-Njigba,WR,3.931993,2.060664,1.550664,2.060664,True,False,WR,True,normal_sample,contract_matched,high,2.0,39.0,37.0,7.0,Major bargain,2023,SEA,1,20,2,round_1,rookie_contract,True,rookie_contract_surplus
2025,CIN,00-0038597,Chase Brown,RB,RB,0,0,0,0,1019,6,69,437,5,88,0.0,-4.2413606580083725,-10.32908347672744,-14.570444134735812,108.4795558652642,Chase Brown,RB,1.101539,1.03,1.03,,True,False,RB,True,normal_sample,contract_matched,high,12.0,48.0,36.0,1.0,Major bargain,2023,CIN,5,163,2,rounds_4_5,rookie_contract,True,rookie_contract_surplus
2025,BAL,00-0039064,Zay Flowers,WR,WR,0,0,0,0,62,1,86,1211,5,118,0.0,2.4996555442921817,46.3842026584022,48.883858202694384,152.0338582026944,Zay Flowers,WR,3.82812,2.02604,1.58604,2.02604,True,False,WR,True,normal_sample,contract_matched,high,7.0,41.0,34.0,8.0,Major bargain,2023,BAL,1,22,2,round_1,rookie_contract,True,rookie_contract_surplus
2025,MIA,00-0039040,De'Von Achane,RB,RB,0,0,0,0,1350,8,67,488,4,85,0.0,14.038851955604883,-10.227876861455025,3.8109750941498586,148.46097509414986,Devon Achane,RB,1.482941,1.244314,1.244314,,True,False,RB,True,normal_sample,contract_matched,high,6.0,39.0,33.0,2.0,Major bargain,2023,MIA,3,84,2,round_3,rookie_contract,True,rookie_contract_surplus
