season,player_name,team,position_final,production_score,player_surplus_gap,cap_number,next_team,next_production_score,next_player_surplus_gap,next_cap_number,appeared_next_year,remained_positive_surplus,improved_production,hit,review_group
2022,Nico Collins,HOU,WR,37.97294433721114,-10.0,1.107163,HOU,181.70238889168056,66.0,1.328595,True,True,True,True,missed_opportunities
2021,Christian McCaffrey,CAR,RB,77.36146663200915,-15.0,6.8995,SF,135.05186249853563,50.0,0.69,True,True,True,True,missed_opportunities
2024,Michael Wilson,ARI,WR,60.80908609034192,4.0,1.213514,ARI,116.55218070236764,46.0,1.456217,True,True,True,True,missed_opportunities
2021,Darius Slayton,NYG,WR,12.802254726970254,-18.0,0.908721,NYG,88.95416537458641,44.0,1.023721,True,True,True,True,missed_opportunities
2024,Wan'Dale Robinson,NYG,WR,41.179372306319294,-25.0,2.232318,NYG,107.3345909378728,29.0,2.604371,True,True,True,True,missed_opportunities
2024,Troy Franklin,DEN,WR,7.868579887995912,-13.0,1.008709,DEN,78.36723052168705,28.0,1.188709,True,True,True,True,missed_opportunities
2024,Drake Maye,NE,QB,44.96496579409353,3.0,6.661775,NE,288.08507712224093,24.0,8.327219,True,True,True,True,missed_opportunities
2021,Jerry Jeudy,DEN,WR,47.542869701869435,-34.0,3.452945,DEN,134.23389582088225,24.0,4.143534,True,True,True,True,missed_opportunities
2022,Isaiah Likely,BAL,TE,31.296767543134557,0.0,0.831084,BAL,75.24419939463758,23.0,0.996084,True,True,True,True,missed_opportunities
2021,Miles Sanders,PHI,RB,46.793562883115406,-7.0,1.461881,PHI,106.76362264232895,22.0,1.705528,True,True,True,True,missed_opportunities
2021,Devin Duvernay,BAL,WR,40.259393515499795,-10.0,1.039958,BAL,70.9264269904059,22.0,1.227966,True,True,True,True,missed_opportunities
2024,Chris Olave,NO,WR,33.72259594397684,-54.0,5.255965,NO,138.78112816185646,21.0,6.131959,True,True,True,True,missed_opportunities
2023,Jerry Jeudy,DEN,WR,74.352773686105,-16.0,4.834123,CLE,134.74855886689232,21.0,4.7,True,True,True,True,missed_opportunities
2023,Jameson Williams,DET,WR,50.28532926543848,-20.0,3.713318,DET,132.02227386157085,21.0,4.552036,True,True,True,True,missed_opportunities
2023,Drake London,ATL,WR,82.43389044028001,-12.0,4.894198,ATL,149.76099012851992,19.0,5.873038,True,True,True,True,missed_opportunities
2023,Rashod Bateman,BAL,WR,36.27940387406829,-30.0,3.436204,BAL,121.03197911099562,17.0,3.834135,True,True,True,True,missed_opportunities
2021,Trevor Lawrence,JAX,QB,-8.323717981128336,-10.0,6.689725,JAX,176.5541878680687,16.0,8.362156,True,True,True,True,missed_opportunities
2021,Khalil Herbert,CHI,RB,32.19928043086029,4.0,0.692676,CHI,56.95811823012483,16.0,0.754899,True,True,True,True,missed_opportunities
2021,T.J. Hockenson,DET,TE,61.86785234076034,-5.0,5.580789,MIN,56.20297284579084,16.0,0.536111,True,True,False,True,missed_opportunities
2021,Cole Kmet,CHI,TE,39.46320448199051,1.0,1.722224,CHI,73.5202807531176,15.0,2.066669,True,True,True,True,missed_opportunities
2021,Tua Tagovailoa,MIA,QB,64.8210296703648,-1.0,6.880781,MIA,154.9867511890602,14.0,8.256937,True,True,True,True,missed_opportunities
2023,Quentin Johnston,LAC,WR,43.65385488727064,-12.0,2.579779,LAC,107.69420904472128,14.0,3.224724,True,True,True,True,missed_opportunities
2023,Jahmyr Gibbs,DET,RB,91.76873519308012,0.0,3.24457,DET,219.4821544056242,13.0,4.055713,True,True,True,True,missed_opportunities
2021,Daniel Jones,NYG,QB,43.93967129627373,-3.0,7.174288,NYG,157.83464483283862,13.0,8.365836,True,True,True,True,missed_opportunities
2021,Josh Jacobs,LV,RB,63.38904782830453,-16.0,3.254563,LV,152.52678553527323,13.0,3.79699,True,True,True,True,missed_opportunities
2024,Christian Watson,GB,WR,65.71484527347695,-13.0,2.52028,GB,89.5377431172806,13.0,3.336665,True,True,True,True,missed_opportunities
2024,Zach Charbonnet,SEA,RB,64.22630860097459,3.0,1.562745,SEA,84.2173228998953,13.0,1.875294,True,True,True,True,missed_opportunities
2022,Ja'Marr Chase,CIN,WR,123.87727606208198,4.0,7.004464,CIN,162.136397818251,12.0,8.405357,True,True,True,True,missed_opportunities
2024,Caleb Williams,CHI,QB,35.21724032778416,-3.0,7.179283,CHI,159.06323686768334,12.0,8.974104,True,True,True,True,missed_opportunities
2021,Justin Fields,CHI,QB,-27.500916894736577,-6.0,3.431264,CHI,99.44367863324936,12.0,4.28908,True,True,True,True,missed_opportunities
2021,D'Andre Swift,DET,RB,54.34675418630907,-12.0,1.940663,DET,97.2235542766087,12.0,2.328796,True,True,True,True,missed_opportunities
2024,Dalton Kincaid,BUF,TE,54.206048939535464,-5.0,3.0516,BUF,92.68840316268242,12.0,3.66192,True,True,True,True,missed_opportunities
2024,Mac Jones,JAX,QB,18.22116050381379,1.0,2.78541,SF,73.92734438676331,12.0,2.558,True,True,True,True,missed_opportunities
2024,Theo Johnson,NYG,TE,31.342643655178836,2.0,0.912581,NYG,61.48237116280326,12.0,1.167859,True,True,True,True,missed_opportunities
2022,Cade Otton,TB,TE,41.02210090164649,2.0,0.913485,TB,59.09098223960626,12.0,1.108485,True,True,True,True,missed_opportunities
2021,David Njoku,CLE,TE,65.80141280220721,-8.0,6.013,CLE,79.67499826220431,11.0,3.328,True,True,True,True,missed_opportunities
2022,Zack Moss,IND,RB,17.00801612243469,2.0,0.54375,IND,61.98184885432485,11.0,1.16926,True,True,True,True,missed_opportunities
2023,Justin Fields,CHI,QB,61.094275378029955,4.0,5.146896,PIT,54.53749674287588,11.0,3.233448,True,True,False,True,missed_opportunities
2023,Garrett Wilson,NYJ,WR,74.31115117544226,-15.0,4.671365,NYJ,124.34425284838191,10.0,5.605638,True,True,True,True,missed_opportunities
2022,David Montgomery,CHI,RB,73.75890677479367,-3.0,3.051545,DET,101.70353690215188,10.0,2.845588,True,True,True,True,missed_opportunities
2024,Jake Ferguson,DAL,TE,26.738934782928258,-4.0,1.16122,DAL,92.9158242648256,10.0,3.98222,True,True,True,True,missed_opportunities
2022,Deebo Samuel Sr.,SF,WR,72.76097836553055,-26.0,6.876519,SF,157.58910416861076,9.0,8.741765,True,True,True,True,missed_opportunities
2023,Pat Freiermuth,PIT,TE,38.94455986729571,-8.0,1.644049,PIT,105.80123255502625,8.0,3.636033,True,True,True,True,missed_opportunities
2024,Javonte Williams,DEN,RB,38.51856313520562,-23.0,2.820922,DAL,104.11773458294584,8.0,3.0,True,True,True,True,missed_opportunities
2024,Trevor Lawrence,JAX,QB,53.174355379397056,-6.0,15.029725,JAX,172.97147994854305,7.0,17.0,True,True,True,True,missed_opportunities
2023,Noah Gray,KC,TE,30.72730183908718,-3.0,1.018445,KC,68.34238320583827,7.0,2.633445,True,True,True,True,missed_opportunities
2022,Chuba Hubbard,CAR,RB,44.911919202189594,1.0,1.003293,CAR,49.24377073344949,7.0,1.118293,True,True,True,True,missed_opportunities
2024,Jordan Love,GB,QB,133.78864735789656,-3.0,20.757731,GB,195.46028367933832,6.0,29.722437,True,True,True,True,missed_opportunities
2023,Bijan Robinson,ATL,RB,72.02803189742447,-11.0,3.992462,ATL,180.18495834909285,6.0,4.990578,True,True,True,True,missed_opportunities
2024,Dontayvion Wicks,GB,WR,37.74120397329184,2.0,0.990636,GB,45.052123921150574,6.0,1.105636,True,True,True,True,missed_opportunities
2024,C.J. Stroud,HOU,QB,30.878260371498136,-8.0,8.245283,HOU,122.81344646764003,5.0,9.894339,True,True,True,True,missed_opportunities
2024,Jaylen Waddle,MIA,WR,98.31258022691262,-19.0,9.094435,MIA,116.76881092795584,5.0,8.020709,True,True,True,True,missed_opportunities
2024,Kenneth Walker III,SEA,RB,71.83380147468893,0.0,2.302249,SEA,80.74555103942498,4.0,2.685957,True,True,True,True,missed_opportunities
2023,Joe Burrow,CIN,QB,42.07279554164952,-12.0,19.515043,CIN,252.40977435292243,3.0,29.551112,True,True,True,True,missed_opportunities
2024,Kyle Pitts,ATL,TE,60.79350622568147,-14.0,10.471522,ATL,107.98395235566966,3.0,10.878,True,True,True,True,missed_opportunities
2023,Zach Charbonnet,SEA,RB,32.985121590819396,-16.0,1.250196,SEA,64.22630860097459,3.0,1.562745,True,True,True,True,missed_opportunities
2024,Spencer Rattler,NO,QB,-49.19392391317038,1.0,0.87912,NO,8.009433303832672,3.0,1.04412,True,True,True,True,missed_opportunities
2023,Justin Herbert,LAC,QB,106.32197554066472,4.0,8.456876,LAC,166.03703010279196,2.0,19.345675,True,True,True,True,missed_opportunities
2023,Darnell Mooney,CHI,WR,26.1329272024744,-33.0,3.063512,ATL,124.08317034816334,2.0,7.48,True,True,True,True,missed_opportunities
2021,Evan Engram,NYG,TE,28.477430658088167,-26.0,6.013,JAX,103.46395132783294,2.0,8.970588,True,True,True,True,missed_opportunities
2021,Zack Moss,BUF,RB,35.3852407520242,-9.0,1.048256,IND,17.00801612243469,2.0,0.54375,True,True,False,True,missed_opportunities
2024,Chig Okonkwo,TEN,TE,37.547052110180225,1.0,1.111084,TEN,60.67110406271249,1.0,3.532084,True,True,True,True,missed_opportunities
2021,Chuba Hubbard,CAR,RB,29.365575359111105,-3.0,0.838293,CAR,44.911919202189594,1.0,1.003293,True,True,True,True,missed_opportunities
2023,Mac Jones,NE,QB,-43.572064879428794,-11.0,4.25082,JAX,18.22116050381379,1.0,2.78541,True,True,True,True,missed_opportunities
2024,Adonai Mitchell,IND,WR,10.595196524539924,-29.0,1.342925,NYJ,17.497260643276462,1.0,0.565366,True,True,True,True,missed_opportunities
2022,Lamar Jackson,BAL,QB,133.3724366273131,-2.0,23.016,BAL,186.8112767115556,0.0,22.15,True,False,True,True,missed_opportunities
2024,Travis Etienne,JAX,RB,24.84487859411422,-36.0,4.103945,JAX,108.11567894314388,0.0,6.143,True,False,True,True,missed_opportunities
2022,Kylen Granson,IND,TE,20.373509686983898,-7.0,1.001591,IND,43.30071193672369,0.0,1.116591,True,False,True,True,missed_opportunities
2023,Josh Jacobs,LV,RB,36.257753229205406,-43.0,11.791,GB,123.60350908576976,-1.0,5.395588,True,False,True,True,missed_opportunities
2024,Breece Hall,NYJ,RB,83.85178745480357,4.0,2.458573,NYJ,84.38754406349429,-1.0,4.340049,True,False,True,True,missed_opportunities
2022,Elijah Moore,NYJ,WR,35.19248624491873,-30.0,2.031914,CLE,41.28830371287978,-2.0,1.472766,True,False,True,True,missed_opportunities
2023,Tee Higgins,CIN,WR,84.77402285191079,2.0,3.962416,CIN,150.2012959927986,-3.0,21.816,True,False,True,True,missed_opportunities
2024,Rome Odunze,CHI,WR,76.58702076468657,-9.0,4.131727,CHI,82.94272108281044,-3.0,5.164659,True,False,True,True,missed_opportunities
2023,Bryce Young,CAR,QB,-108.68414235516144,-20.0,6.900922,CAR,48.91128649706248,-3.0,8.626153,True,False,True,True,missed_opportunities
2022,DJ Moore,CAR,WR,102.78079357358482,-2.0,6.11,CHI,182.9259868393677,-4.0,20.165,True,False,True,True,missed_opportunities
2021,Foster Moreau,LV,TE,34.276612628071476,4.0,0.972098,LV,43.76547742337571,-4.0,2.662098,True,False,True,True,missed_opportunities
2021,Saquon Barkley,NYG,RB,40.963571222802365,-47.0,10.025602,NYG,98.63958742913314,-5.0,7.217,True,False,True,True,missed_opportunities
2024,Ricky Pearsall,SF,WR,48.196880852470926,-23.0,2.279709,SF,60.33485590332201,-5.0,2.849636,True,False,True,True,missed_opportunities
2022,DK Metcalf,SEA,WR,99.94870595215252,-16.0,8.838827,SEA,138.84521705119914,-6.0,13.72,True,False,True,True,missed_opportunities
2023,Kyler Murray,ARI,QB,34.7614152724422,-11.0,16.007,ARI,178.1976138899824,-7.0,49.518177,True,False,True,True,missed_opportunities
2022,Kyle Pitts,ATL,TE,34.177594560885424,-22.0,7.479658,ATL,71.1263530310612,-8.0,8.97559,True,False,True,True,missed_opportunities
2023,Najee Harris,PIT,RB,64.18774479450174,-13.0,3.558394,PIT,80.5651519359206,-9.0,4.15146,True,False,True,True,missed_opportunities
2024,Rhamondre Stevenson,NE,RB,50.22993442427624,-29.0,4.903265,NE,77.22159486435586,-9.0,5.541176,True,False,True,True,missed_opportunities
2021,Courtland Sutton,DEN,WR,80.66875237055254,-16.0,4.146987,DEN,87.70153662593195,-10.0,5.325,True,False,True,True,missed_opportunities
2022,Rondale Moore,ARI,WR,37.52008110870104,-23.0,1.573694,ARI,39.15217817272464,-12.0,1.888433,True,False,True,True,missed_opportunities
2024,Isiah Pacheco,KC,RB,9.92959319434313,-12.0,1.004777,KC,20.578673844121244,-12.0,1.119777,True,False,True,True,missed_opportunities
2023,Christian Watson,GB,WR,44.011795456006865,-8.0,2.100233,GB,65.71484527347695,-13.0,2.52028,True,False,True,True,missed_opportunities
2022,Jonathan Taylor,IND,RB,22.998781535767073,-28.0,2.135224,IND,66.45558723860051,-14.0,5.117482,True,False,True,True,missed_opportunities
2021,Clyde Edwards-Helaire,KC,RB,45.39367679736672,-24.0,2.459449,KC,57.12653345686559,-15.0,2.951339,True,False,True,True,missed_opportunities
2021,Sam Darnold,CAR,QB,-38.21469350084465,-9.0,4.774685,CAR,45.297183518314085,-15.0,18.858,True,False,True,True,missed_opportunities
2021,Zach Wilson,NYJ,QB,-59.11107293355501,-14.0,6.391033,NYJ,-14.550088698989663,-15.0,7.988791,True,False,True,True,missed_opportunities
2023,Jonathan Taylor,IND,RB,66.45558723860051,-14.0,5.117482,IND,84.20420762867096,-16.0,10.786,True,False,True,True,missed_opportunities
2023,Cedric Tillman,CLE,WR,-9.43194985723141,-10.0,1.020084,CLE,29.274465737051955,-18.0,1.275105,True,False,True,True,missed_opportunities
2023,Noah Fant,SEA,TE,40.42446957143257,-22.0,6.85,SEA,46.51373245918089,-19.0,7.5,True,False,True,True,missed_opportunities
2021,Marquez Valdes-Scantling,GB,WR,46.810256269082615,-24.0,2.237389,KC,66.99403431545281,-23.0,5.0,True,False,True,True,missed_opportunities
2023,Javonte Williams,DEN,RB,34.349102866449435,-24.0,2.417933,DEN,38.51856313520562,-23.0,2.820922,True,False,True,True,missed_opportunities
2023,Rhamondre Stevenson,NE,RB,33.47839029904687,-8.0,1.127265,NE,50.22993442427624,-29.0,4.903265,True,False,True,True,missed_opportunities
2022,Diontae Johnson,PIT,WR,62.46871712080754,-42.0,7.61669,PIT,89.57815332977907,-35.0,16.333333,True,False,True,True,missed_opportunities
2021,Corey Davis,NYJ,WR,44.26520076982526,-69.0,12.666666,NYJ,52.62272484340909,-66.0,13.666666,True,False,True,True,missed_opportunities
