season,player_name,team,position_final,production_score,player_surplus_gap,cap_number,next_team,next_production_score,next_player_surplus_gap,next_cap_number,appeared_next_year,remained_positive_surplus,improved_production,hit,review_group
2021,Hunter Renfrow,LV,WR,153.6504707485502,71.0,0.928987,LV,34.597914962097704,-42.0,3.543987,True,False,False,False,model_misses
2021,Deebo Samuel Sr.,SF,WR,230.16766970101935,54.0,2.099279,SF,72.76097836553055,-26.0,6.876519,True,False,False,False,model_misses
2021,Diontae Johnson,PIT,WR,137.43647980532978,54.0,1.167535,PIT,62.46871712080754,-42.0,7.61669,True,False,False,False,model_misses
2023,Rashee Rice,KC,WR,124.77028502302232,54.0,1.180949,,,,,False,False,False,False,model_misses
2024,Devaughn Vele,DEN,WR,78.08660535645322,52.0,0.82112,,,,,False,False,False,False,model_misses
2021,DK Metcalf,SEA,WR,132.2868501506222,48.0,1.250741,SEA,99.94870595215252,-16.0,8.838827,True,False,False,False,model_misses
2022,K.J. Osborn,MIN,WR,87.81154929867918,48.0,0.961943,MIN,54.300214012577385,-8.0,2.809943,True,False,False,False,model_misses
2021,Quez Watkins,PHI,WR,76.90073919150083,48.0,0.822415,PHI,19.533473977111537,-4.0,0.937415,True,False,False,False,model_misses
2022,Donovan Peoples-Jones,CLE,WR,84.3276495026529,46.0,0.941652,,,,,False,False,False,False,model_misses
2024,Jayden Reed,GB,WR,124.00512123608988,43.0,1.631995,,,,,False,False,False,False,model_misses
2023,Isiah Pacheco,KC,RB,94.0574872843644,42.0,0.889777,KC,9.92959319434313,-12.0,1.004777,True,False,False,False,model_misses
2023,Brandon Aiyuk,SF,WR,188.64046708213152,39.0,3.987248,SF,37.76439738247652,-55.0,5.725,True,False,False,False,model_misses
2024,Bucky Irving,TB,RB,146.90035139455412,39.0,0.977888,TB,35.984963989573316,-4.0,1.142888,True,False,False,False,model_misses
2022,Christian Watson,GB,WR,109.16044183260298,39.0,1.680186,GB,44.011795456006865,-8.0,2.100233,True,False,False,False,model_misses
2023,CeeDee Lamb,DAL,WR,280.7583442577783,37.0,4.457732,DAL,122.39369120270746,-5.0,8.75,True,False,False,False,model_misses
2021,Van Jefferson,LA,WR,106.36201265678838,36.0,1.275259,LA,45.250790292327295,-11.0,1.530311,True,False,False,False,model_misses
2021,Damien Harris,NE,RB,109.99397894930628,35.0,1.071534,NE,32.28923199688434,-11.0,1.186534,True,False,False,False,model_misses
2022,Tony Pollard,DAL,RB,125.41185955948995,32.0,1.132582,DAL,76.33636699387479,-17.0,10.091,True,False,False,False,model_misses
2024,Jalen McMillan,TB,WR,73.01346637151262,32.0,1.029641,,,,,False,False,False,False,model_misses
2021,Elijah Mitchell,SF,RB,66.36638841605983,32.0,0.705893,,,,,False,False,False,False,model_misses
2021,Freddie Swain,SEA,WR,50.45634098604066,30.0,0.812353,,,,,False,False,False,False,model_misses
2022,Rhamondre Stevenson,NE,RB,86.95510883853761,29.0,1.012265,NE,33.47839029904687,-8.0,1.127265,True,False,False,False,model_misses
2021,Jonathan Taylor,IND,RB,217.25242240792136,28.0,1.779353,IND,22.998781535767073,-28.0,2.135224,True,False,False,False,model_misses
2021,Braxton Berrios,NYJ,WR,59.89181939007248,28.0,0.85,,,,,False,False,False,False,model_misses
2024,Calvin Austin III,PIT,WR,72.54119531667546,27.0,1.111084,PIT,31.209220324122207,-12.0,1.226084,True,False,False,False,model_misses
2021,Kenneth Gainwell,PHI,RB,60.614565311366285,27.0,0.743881,,,,,False,False,False,False,model_misses
2024,Malik Nabers,NYG,WR,152.72086900682882,26.0,5.3105,,,,,False,False,False,False,model_misses
2023,Jake Ferguson,DAL,TE,103.55242731869888,26.0,1.04622,DAL,26.738934782928258,-4.0,1.16122,True,False,False,False,model_misses
2024,Jalen Tolbert,DAL,WR,88.9690162823434,25.0,1.400651,,,,,False,False,False,False,model_misses
2022,Isaiah Hodgins,NYG,WR,48.01551730313609,25.0,0.391667,,,,,False,False,False,False,model_misses
2022,Jerry Jeudy,DEN,WR,134.23389582088225,24.0,4.143534,DEN,74.352773686105,-16.0,4.834123,True,False,False,False,model_misses
2022,Garrett Wilson,NYJ,WR,118.86070569272644,24.0,3.737092,NYJ,74.31115117544226,-15.0,4.671365,True,False,False,False,model_misses
2023,Michael Pittman,IND,WR,124.93978447965875,23.0,3.948971,IND,67.8884420777228,-55.0,18.0,True,False,False,False,model_misses
2021,Devin Singletary,BUF,RB,82.77048466795208,23.0,1.108956,BUF,72.61602080323247,-2.0,2.798956,True,False,False,False,model_misses
2024,Tank Dell,HOU,WR,76.88540431006878,23.0,1.292978,,,,,False,False,False,False,model_misses
2021,Chase Edmonds,ARI,RB,69.26212437361654,23.0,1.033089,,,,,False,False,False,False,model_misses
2023,Chris Olave,NO,WR,136.2984927947194,22.0,4.379971,NO,33.72259594397684,-54.0,5.255965,True,False,False,False,model_misses
2021,Dalton Schultz,DAL,TE,130.24208383688972,22.0,2.296089,DAL,57.760452403394254,-14.0,10.931,True,False,False,False,model_misses
2022,Miles Sanders,PHI,RB,106.76362264232895,22.0,1.705528,CAR,-1.1177161368211754,-35.0,2.555,True,False,False,False,model_misses
2022,Devin Duvernay,BAL,WR,70.9264269904059,22.0,1.227966,,,,,False,False,False,False,model_misses
2021,Michael Carter,NYJ,RB,57.51775451125005,22.0,0.821006,NYJ,27.57439564567044,-8.0,1.02684,True,False,False,False,model_misses
2024,Jerry Jeudy,CLE,WR,134.74855886689232,21.0,4.7,CLE,19.27793381855453,-64.0,7.975,True,False,False,False,model_misses
2021,Cedrick Wilson Jr.,DAL,WR,103.39226314763935,21.0,2.183,,,,,False,False,False,False,model_misses
2023,Tyjae Spears,TEN,RB,61.80281086532919,21.0,0.998291,TEN,42.954171658221334,-7.0,1.247864,True,False,False,False,model_misses
2022,Jauan Jennings,SF,WR,46.50532685810413,21.0,0.825,,,,,False,False,False,False,model_misses
2024,Jayden Daniels,WAS,QB,237.85312303366936,20.0,6.863027,WAS,33.93823457621316,-7.0,8.578784,True,False,False,False,model_misses
2024,Xavier Worthy,KC,WR,101.16549797122028,20.0,2.507321,KC,62.862803113247885,-3.0,3.134151,True,False,False,False,model_misses
2024,Isaiah Likely,BAL,TE,80.05649973336767,20.0,1.111084,,,,,False,False,False,False,model_misses
2023,Ty Chandler,MIN,RB,49.88780463402574,20.0,0.944711,,,,,False,False,False,False,model_misses
2023,Jordan Love,GB,QB,181.1210235839656,19.0,4.409271,GB,133.78864735789656,-3.0,20.757731,True,False,False,False,model_misses
2023,Wan'Dale Robinson,NYG,WR,78.4270397617124,19.0,1.860265,NYG,41.179372306319294,-25.0,2.232318,True,False,False,False,model_misses
2024,Justin Jefferson,MIN,WR,199.7952985164618,18.0,8.6126,MIN,65.86459843222701,-42.0,15.1676,True,False,False,False,model_misses
