season,player_name,team,position_final,production_score,player_surplus_gap,cap_number,next_team,next_production_score,next_player_surplus_gap,next_cap_number,appeared_next_year,remained_positive_surplus,improved_production,hit,review_group
2023,Puka Nacua,LA,WR,194.67579401431547,88.0,0.811245,LA,138.04102076017674,78.0,0.976245,True,True,False,True,true_positives
2022,Amon-Ra St. Brown,DET,WR,169.34701008063655,75.0,1.021315,DET,207.05439331275147,76.0,1.136315,True,True,True,True,true_positives
2021,Amon-Ra St. Brown,DET,WR,147.47833435664032,72.0,0.856315,DET,169.34701008063655,75.0,1.021315,True,True,True,True,true_positives
2024,Puka Nacua,LA,WR,138.04102076017674,78.0,0.976245,LA,281.28146136267435,74.0,1.091245,True,True,True,True,true_positives
2023,Khalil Shakir,BUF,WR,90.54230551268265,48.0,0.956788,BUF,115.4444834181761,57.0,1.071788,True,True,True,True,true_positives
2023,DeMario Douglas,NE,WR,37.77218179711339,17.0,0.783333,NE,78.91141757554999,50.0,0.948333,True,True,True,True,true_positives
2024,Parker Washington,JAX,WR,49.94056237375166,15.0,0.963066,JAX,100.1458392066828,49.0,1.078066,True,True,True,True,true_positives
2021,K.J. Osborn,MIN,WR,81.90418849306387,47.0,0.846943,MIN,87.81154929867918,48.0,0.961943,True,True,True,True,true_positives
2021,Justin Jefferson,MIN,WR,215.588672763928,43.0,2.982456,MIN,231.6898255545427,46.0,3.578947,True,True,True,True,true_positives
2022,Romeo Doubs,GB,WR,39.4384885721689,9.0,0.875979,GB,96.5605666056188,46.0,1.040979,True,True,True,True,true_positives
2024,Kayshon Boutte,NE,WR,69.93652543412516,35.0,0.961816,NE,90.66034117618686,46.0,1.076816,True,True,True,True,true_positives
2021,Donovan Peoples-Jones,CLE,WR,72.372869365794,42.0,0.826652,CLE,84.3276495026529,46.0,0.941652,True,True,True,True,true_positives
2021,Tee Higgins,CIN,WR,149.12817947462153,46.0,1.97427,CIN,145.51832947387766,43.0,2.369124,True,True,False,True,true_positives
2023,Jayden Reed,GB,WR,130.48668910204927,56.0,1.305596,GB,124.00512123608988,43.0,1.631995,True,True,False,True,true_positives
2022,Isiah Pacheco,KC,RB,67.72539136382031,27.0,0.724777,KC,94.0574872843644,42.0,0.889777,True,True,True,True,true_positives
