threshold,group_model,position_final,players_model,appeared_next_year_model,hits_model,avg_surplus_gap_model,avg_next_surplus_gap_model,avg_production_score_model,avg_next_production_score_model,appearance_rate_model,hit_rate_model,group_baseline,players_baseline,appeared_next_year_baseline,hits_baseline,avg_surplus_gap_baseline,avg_next_surplus_gap_baseline,avg_production_score_baseline,avg_next_production_score_baseline,appearance_rate_baseline,hit_rate_baseline,hit_rate_lift,appearance_rate_lift,next_surplus_gap_lift,next_production_score_lift
0,model_candidates,QB,42,37,23,11.404761904761905,4.621621621621622,125.14856612718677,116.80034638292568,0.8809523809523809,0.5476190476190477,not_flagged_baseline,27,20,15,-7.962962962962963,-0.45,13.341793363532725,97.542910109529,0.7407407407407407,0.5555555555555556,-0.007936507936507908,0.14021164021164023,5.071621621621622,19.257436273396678
0,model_candidates,RB,81,64,39,15.555555555555555,3.265625,81.96489852549475,76.39158956074938,0.7901234567901234,0.48148148148148145,not_flagged_baseline,43,27,21,-15.813953488372093,-4.925925925925926,44.62397593584876,77.43967093582079,0.627906976744186,0.4883720930232558,-0.0068906115417743385,0.16221648004593736,8.191550925925926,-1.0480813750714049
0,model_candidates,TE,44,36,25,11.886363636363637,4.805555555555555,77.18085958588107,75.07701460321314,0.8181818181818182,0.5681818181818182,not_flagged_baseline,20,13,11,-7.9,0.46153846153846156,44.26830148402242,74.07581663026177,0.65,0.55,0.018181818181818188,0.1681818181818182,4.344017094017094,1.001197972951374
0,model_candidates,WR,137,115,81,28.94160583941606,10.591304347826087,110.7962793714134,105.94544206567568,0.8394160583941606,0.5912408759124088,not_flagged_baseline,66,38,30,-21.136363636363637,-2.3684210526315788,48.04533390636451,91.52772546698722,0.5757575757575758,0.45454545454545453,0.13669542136695428,0.26365848263658476,12.959725400457666,14.417716598688457
3,model_candidates,QB,35,32,21,13.542857142857143,5.40625,149.55135244607612,131.9203384547377,0.9142857142857143,0.6,not_flagged_baseline,34,25,17,-6.176470588235294,-0.44,11.24031948660481,82.04080751228895,0.7352941176470589,0.5,0.09999999999999998,0.17899159663865538,5.84625,49.87953094244875
3,model_candidates,RB,72,59,35,17.375,3.559322033898305,85.37164225755483,75.47056827561056,0.8194444444444444,0.4861111111111111,not_flagged_baseline,52,32,25,-12.903846153846153,-4.1875,46.36979813966583,78.9740412154406,0.6153846153846154,0.4807692307692308,0.005341880341880323,0.204059829059829,7.7468220338983045,-3.503472939830033
3,model_candidates,TE,36,31,20,14.305555555555555,3.5483870967741935,85.45230221793658,76.5407609065418,0.8611111111111112,0.5555555555555556,not_flagged_baseline,28,18,16,-5.357142857142857,3.8333333333333335,43.03717755762494,71.83303076701557,0.6428571428571429,0.5714285714285714,-0.015873015873015817,0.21825396825396826,-0.28494623655914,4.707730139526234
3,model_candidates,WR,131,111,79,30.198473282442748,11.324324324324325,113.24477548709937,106.94455892750952,0.8473282442748091,0.6030534351145038,not_flagged_baseline,72,42,32,-19.25,-3.0714285714285716,48.81967670685662,90.26031819868244,0.5833333333333334,0.4444444444444444,0.1586089906700594,0.26399491094147576,14.395752895752896,16.684240728827078
5,model_candidates,QB,29,27,18,15.620689655172415,6.518518518518518,159.87286393273828,133.13162454481812,0.9310344827586207,0.6206896551724138,not_flagged_baseline,40,30,20,-4.725,-0.4666666666666667,24.503878602695433,89.26390518829136,0.75,0.5,0.12068965517241381,0.18103448275862066,6.985185185185185,43.86771935652676
5,model_candidates,RB,64,53,32,19.109375,4.547169811320755,89.15223937333138,78.10134954971063,0.828125,0.5,not_flagged_baseline,60,38,28,-10.716666666666667,-4.342105263157895,47.537407098556045,74.75161371106468,0.6333333333333333,0.4666666666666667,0.033333333333333326,0.1947916666666667,8.88927507447865,3.3497358386459553
