candidate_row_id,n_matched_controls,match_distance_avg,match_distance_min,match_distance_max,match_tier,candidate_season,candidate_player_id,candidate_player_name,candidate_team,candidate_position_final,candidate_draft_year,candidate_draft_round,candidate_draft_pick,candidate_draft_capital_bucket,candidate_years_since_drafted,candidate_estimated_contract_stage,candidate_production_score,candidate_production_percentile_position,candidate_cap_number,candidate_cash_paid,candidate_production_rank_position,candidate_cost_rank_position,candidate_player_surplus_gap,candidate_surplus_percentile_position,candidate_player_surplus_rank,candidate_reg_snap_games,candidate_reg_offense_snaps,candidate_reg_avg_offense_snap_pct,candidate_reg_games_off_snap_50_plus,candidate_reg_games_off_snap_70_plus,candidate_playoff_snap_games,candidate_playoff_offense_snaps,candidate_playoff_avg_offense_snap_pct,candidate_appeared_next_year,matched_control_appeared_next_year_mean,candidate_primary_v5_hit,matched_control_primary_v5_hit_mean,candidate_secondary_v5_hit,matched_control_secondary_v5_hit_mean,candidate_retained_positive_surplus,matched_control_retained_positive_surplus_mean,candidate_improved_production_score,matched_control_improved_production_score_mean,candidate_improved_production_percentile,matched_control_improved_production_percentile_mean,candidate_next_year_top_half_position,matched_control_next_year_top_half_position_mean,candidate_next_year_meaningful_regular_role,matched_control_next_year_meaningful_regular_role_mean,lift_appeared_next_year,lift_primary_v5_hit,lift_secondary_v5_hit,lift_retained_positive_surplus,lift_improved_production_score,lift_improved_production_percentile,lift_next_year_top_half_position,lift_next_year_meaningful_regular_role
97,1,0.8401318028890163,0.8401318028890163,0.8401318028890163,tier_1_same_season_position_draft_bucket_contract_stage,2021,00-0033856,Leonard Fournette,TB,RB,2017.0,1.0,4.0,round_1,4.0,possible_fifth_year_option,117.87173587998092,0.9411764705882352,3.25,3.375,5.0,16.0,11.0,0.7132352941176471,20.0,14,623.0,0.6342857142857143,11,4,1.0,62.0,0.86,1,1.0,1,1.0,0,1.0,0,1.0,0,1.0,0,1.0,1,1.0,1,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
100,1,0.9990685342004979,0.9990685342004979,0.9990685342004979,tier_2_same_season_position_draft_bucket,2021,00-0033873,Patrick Mahomes,KC,QB,2017.0,1.0,10.0,round_1,4.0,possible_fifth_year_option,267.55589782933174,0.9444444444444444,7.433381,22.806905,3.0,18.0,15.0,0.9305555555555556,3.0,17,1164.0,0.9741176470588234,17,17,3.0,210.0,1.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
117,1,0.5912443056063686,0.5912443056063686,0.5912443056063686,tier_1_same_season_position_draft_bucket_contract_stage,2021,00-0034270,Tyler Conklin,MIN,TE,2018.0,5.0,157.0,rounds_4_5,3.0,rookie_contract,65.24053309152892,0.6111111111111112,0.990258,0.92,15.0,32.0,17.0,0.8888888888888888,5.0,17,924.0,0.8099999999999999,17,16,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
122,1,0.9701813985262716,0.9701813985262716,0.9701813985262716,tier_1_same_season_position_draft_bucket_contract_stage,2021,00-0034351,Dallas Goedert,PHI,TE,2018.0,2.0,49.0,round_2,3.0,rookie_contract,120.88343191915098,0.9166666666666666,3.687966,11.320297,4.0,17.0,13.0,0.8055555555555556,8.0,15,781.0,0.7806666666666667,14,10,1.0,59.0,0.89,1,1.0,1,1.0,1,1.0,1,1.0,0,1.0,0,1.0,1,1.0,1,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
124,1,1.0203941580028573,1.0203941580028573,1.0203941580028573,tier_1_same_season_position_draft_bucket_contract_stage,2021,00-0034383,Dalton Schultz,DAL,TE,2018.0,4.0,137.0,rounds_4_5,3.0,rookie_contract,130.24208383688972,0.9444444444444444,2.296089,2.183,3.0,25.0,22.0,0.9861111111111112,1.0,17,993.0,0.8105882352941176,17,13,1.0,58.0,0.81,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
127,1,0.1334003920135363,0.1334003920135363,0.1334003920135363,tier_1_same_season_position_draft_bucket_contract_stage,2021,00-0034414,Boston Scott,PHI,RB,2018.0,6.0,201.0,rounds_6_7,3.0,rookie_contract,45.81454956653851,0.3676470588235294,0.92,0.92,44.0,49.0,5.0,0.5588235294117647,29.0,16,219.0,0.21,2,0,1.0,6.0,0.09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,1,0.4406841882325437,0.4406841882325437,0.4406841882325437,tier_1_same_season_position_draft_bucket_contract_stage,2021,00-0034418,Cedrick Wilson Jr.,DAL,WR,2018.0,6.0,208.0,rounds_6_7,3.0,rookie_contract,103.39226314763935,0.6862745098039216,2.183,2.183,33.0,54.0,21.0,0.7107843137254902,30.0,16,528.0,0.468125,8,2,1.0,61.0,0.85,0,1.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0
129,1,0.5618580154316553,0.5618580154316553,0.5618580154316553,tier_1_same_season_position_draft_bucket_contract_stage,2021,00-0034419,Braxton Berrios,NYJ,WR,2018.0,6.0,210.0,rounds_6_7,3.0,rookie_contract,59.89181939007248,0.4117647058823529,0.85,0.85,61.0,89.0,28.0,0.7549019607843137,26.0,16,390.0,0.384375,5,3,0.0,0.0,0.0,0,1.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0
133,1,0.5309516118166836,0.5309516118166836,0.5309516118166836,tier_1_same_season_position_draft_bucket_contract_stage,2021,00-0034681,Chase Edmonds,ARI,RB,2018.0,4.0,134.0,rounds_4_5,3.0,rookie_contract,69.26212437361654,0.6617647058823529,1.033089,0.92,24.0,47.0,23.0,0.8382352941176471,11.0,12,476.0,0.5783333333333334,9,2,1.0,29.0,0.52,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,1,1.5211049898145184,1.5211049898145184,1.5211049898145184,tier_1_same_season_position_draft_bucket_contract_stage,2021,00-0034753,Mark Andrews,BAL,TE,2018.0,3.0,86.0,round_3,3.0,rookie_contract,176.77933045672432,1.0,3.161776,11.083059,1.0,20.0,19.0,0.9305555555555556,3.0,17,936.0,0.7558823529411764,17,12,0.0,0.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
