control_row_id,control_season,control_player_id,control_player_name,control_team,control_position_final,times_used,avg_match_distance
923,2024,00-0039849,Marvin Harrison Jr.,ARI,WR,10,0.3469357138345907
217,2021,00-0036550,Rashod Bateman,BAL,WR,8,0.8735467970967367
367,2022,00-0035228,Kyler Murray,ARI,QB,8,0.6899817220189327
121,2021,00-0034348,Courtland Sutton,DEN,WR,7,0.48190513069298874
870,2024,00-0038124,Christian Watson,GB,WR,7,0.5265483983541206
185,2021,00-0036212,Tua Tagovailoa,MIA,QB,7,0.6433748463282406
602,2023,00-0036345,K.J. Osborn,MIN,WR,6,0.7269384658307304
364,2022,00-0034983,Hunter Renfrow,LV,WR,6,0.920478821641193
873,2024,00-0038393,Dontayvion Wicks,GB,WR,6,0.7574355225868127
415,2022,00-0036414,Cam Akers,LA,RB,6,0.4222675113648841
430,2022,00-0036900,Ja'Marr Chase,CIN,WR,6,0.43401924555728133
613,2023,00-0036613,Jaylen Waddle,MIA,WR,5,0.46936939170138814
839,2024,00-0036988,Josh Palmer,LAC,WR,5,0.37232515833771573
601,2023,00-0036328,Antonio Gibson,WAS,RB,5,0.5887254145898787
190,2021,00-0036251,Zack Moss,BUF,RB,5,0.8606697537457556
834,2024,00-0036970,Kyle Pitts,ATL,TE,5,0.6524679882626037
126,2021,00-0034411,Russell Gage,ATL,WR,5,0.3885900986998756
123,2021,00-0034367,Nyheim Hines,IND,RB,5,0.4321073806221924
608,2023,00-0036410,Tee Higgins,CIN,WR,4,0.5450333274087511
376,2022,00-0035640,DK Metcalf,SEA,WR,4,0.3393983107618813
591,2023,00-0036223,Jonathan Taylor,IND,RB,4,0.6749809230292603
897,2024,00-0039032,Tyjae Spears,TEN,RB,4,0.7310759936599537
196,2021,00-0036275,D'Andre Swift,DET,RB,4,0.7236273845268364
215,2021,00-0036427,Tyler Johnson,TB,WR,4,0.8117857833598525
454,2022,00-0037258,Dameon Pierce,HOU,RB,3,0.8774238419674537
822,2024,00-0036555,Chuba Hubbard,CAR,RB,3,0.36544439804099954
141,2021,00-0034798,Durham Smythe,MIA,TE,3,0.7113806546639091
921,2024,00-0039794,Braelon Allen,NYJ,RB,3,0.3887345102460534
681,2023,00-0038938,Jalin Hyatt,NYG,WR,3,0.9520638586170665
623,2023,00-0036919,Kenneth Gainwell,PHI,RB,3,0.4498105382131077
823,2024,00-0036613,Jaylen Waddle,MIA,WR,3,0.29318495654888255
197,2021,00-0036290,Cole Kmet,CHI,TE,3,0.8443308994324893
878,2024,00-0038559,Michael Wilson,ARI,WR,3,0.31447555043861053
202,2021,00-0036331,Devin Duvernay,BAL,WR,3,0.3720609924114733
366,2022,00-0035216,Diontae Johnson,PIT,WR,3,0.5769597077838925
617,2023,00-0036876,Kylen Granson,IND,TE,3,0.7896066119360707
616,2023,00-0036875,Rhamondre Stevenson,NE,RB,2,0.8839186969228858
628,2023,00-0036971,Trevor Lawrence,JAX,QB,2,0.39354655778900405
683,2023,00-0038979,Cedric Tillman,CLE,WR,2,0.5895398383234958
631,2023,00-0036980,Elijah Moore,CLE,WR,2,0.5555612810027762
598,2023,00-0036290,Cole Kmet,CHI,TE,2,0.3203506302422232
813,2024,00-0036358,CeeDee Lamb,DAL,WR,2,0.3933574270683738
638,2023,00-0037238,Drake London,ATL,WR,2,0.27933132761795754
603,2023,00-0036355,Justin Herbert,LAC,QB,2,0.41348384937340477
861,2024,00-0037809,Chig Okonkwo,TEN,TE,2,0.7132386479912685
828,2024,00-0036893,Najee Harris,PIT,RB,2,0.6095133328364359
438,2022,00-0036970,Kyle Pitts,ATL,TE,2,1.0015988699036298
427,2022,00-0036893,Najee Harris,PIT,RB,2,0.30291215143882616
421,2022,00-0036572,Shi Smith,CAR,WR,2,0.42141916545987945
164,2021,00-0035311,Myles Gaskin,MIA,RB,2,0.5166888113210609
401,2022,00-0036271,Quez Watkins,PHI,WR,2,0.6446656853610722
363,2022,00-0034981,Foster Moreau,LV,TE,2,0.6654300341777711
827,2024,00-0036875,Rhamondre Stevenson,NE,RB,2,0.3056516732283912
904,2024,00-0039150,Bryce Young,CAR,QB,2,0.5751144098316874
