candidate_row_id,control_row_id,match_rank,match_tier,match_distance,k_requested,controls_reused,candidate_season,control_season,candidate_player_id,control_player_id,candidate_player_name,control_player_name,candidate_team,control_team,candidate_position_final,control_position_final,candidate_draft_year,control_draft_year,candidate_draft_round,control_draft_round,candidate_draft_pick,control_draft_pick,candidate_draft_capital_bucket,control_draft_capital_bucket,candidate_years_since_drafted,control_years_since_drafted,candidate_estimated_contract_stage,control_estimated_contract_stage,candidate_production_score,control_production_score,candidate_production_percentile_position,control_production_percentile_position,candidate_cap_number,control_cap_number,candidate_cash_paid,control_cash_paid,candidate_production_rank_position,control_production_rank_position,candidate_cost_rank_position,control_cost_rank_position,candidate_player_surplus_gap,control_player_surplus_gap,candidate_surplus_percentile_position,control_surplus_percentile_position,candidate_player_surplus_rank,control_player_surplus_rank,candidate_reg_snap_games,control_reg_snap_games,candidate_reg_offense_snaps,control_reg_offense_snaps,candidate_reg_avg_offense_snap_pct,control_reg_avg_offense_snap_pct,candidate_reg_games_off_snap_50_plus,control_reg_games_off_snap_50_plus,candidate_reg_games_off_snap_70_plus,control_reg_games_off_snap_70_plus,candidate_playoff_snap_games,control_playoff_snap_games,candidate_playoff_offense_snaps,control_playoff_offense_snaps,candidate_playoff_avg_offense_snap_pct,control_playoff_avg_offense_snap_pct,candidate_match_production_pct,control_match_production_pct,candidate_match_reg_avg_offense_snap_pct,control_match_reg_avg_offense_snap_pct,candidate_match_reg_snap_games,control_match_reg_snap_games,candidate_match_reg_offense_snaps_pctile,control_match_reg_offense_snaps_pctile,candidate_match_years_since_drafted,control_match_years_since_drafted,candidate_appeared_next_year,control_appeared_next_year,diff_appeared_next_year,candidate_primary_v5_hit,control_primary_v5_hit,diff_primary_v5_hit,candidate_secondary_v5_hit,control_secondary_v5_hit,diff_secondary_v5_hit,candidate_retained_positive_surplus,control_retained_positive_surplus,diff_retained_positive_surplus,candidate_improved_production_score,control_improved_production_score,diff_improved_production_score,candidate_improved_production_percentile,control_improved_production_percentile,diff_improved_production_percentile,candidate_next_year_top_half_position,control_next_year_top_half_position,diff_next_year_top_half_position,candidate_next_year_meaningful_regular_role,control_next_year_meaningful_regular_role,diff_next_year_meaningful_regular_role
97,85,1,tier_1_same_season_position_draft_bucket_contract_stage,0.8401318028890163,5,True,2021,2021,00-0033856,00-0033280,Leonard Fournette,Christian McCaffrey,TB,CAR,RB,RB,2017.0,2017.0,1.0,1.0,4.0,8.0,round_1,round_1,4.0,4.0,possible_fifth_year_option,possible_fifth_year_option,117.87173587998092,77.36146663200915,0.9411764705882352,0.7205882352941176,3.25,6.8995,3.375,8.2375,5.0,20.0,16.0,5.0,11.0,-15.0,0.7132352941176471,0.25,20.0,52.0,14,7,623.0,272.0,0.6342857142857143,0.6057142857142858,11,4,4,3,1.0,0.0,62.0,0.0,0.86,0.0,0.9411764705882352,0.7205882352941176,0.6342857142857143,0.6057142857142858,0.8235294117647058,0.4117647058823529,0.8676470588235294,0.20588235294117646,0.4,0.4,1,1,0,1,1,0,0,1,-1,0,1,-1,0,1,-1,0,1,-1,1,1,0,1,1,0
100,148,1,tier_2_same_season_position_draft_bucket,0.9990685342004979,5,True,2021,2021,00-0033873,00-0034855,Patrick Mahomes,Baker Mayfield,KC,CLE,QB,QB,2017.0,2018.0,1.0,1.0,10.0,1.0,round_1,round_1,4.0,3.0,possible_fifth_year_option,rookie_contract,267.55589782933174,38.31390551122266,0.9444444444444444,0.3611111111111111,7.433381,10.56913,22.806905,5.10677,3.0,24.0,18.0,13.0,15.0,-11.0,0.9305555555555556,0.1805555555555555,3.0,30.0,17,14,1164.0,877.0,0.9741176470588234,0.9564285714285716,17,14,17,13,3.0,0.0,210.0,0.0,1.0,0.0,0.9444444444444444,0.3611111111111111,0.9741176470588234,0.9564285714285716,1.0,0.8235294117647058,0.9444444444444444,0.4166666666666667,0.4,0.3,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
100,185,2,tier_2_same_season_position_draft_bucket,1.021109515054542,5,True,2021,2021,00-0033873,00-0036212,Patrick Mahomes,Tua Tagovailoa,KC,MIA,QB,QB,2017.0,2020.0,1.0,1.0,10.0,5.0,round_1,round_1,4.0,1.0,possible_fifth_year_option,rookie_contract,267.55589782933174,64.8210296703648,0.9444444444444444,0.4444444444444444,7.433381,6.880781,22.806905,1.986156,3.0,21.0,18.0,20.0,15.0,-1.0,0.9305555555555556,0.5138888888888888,3.0,18.0,17,13,1164.0,777.0,0.9741176470588234,0.8776923076923077,17,11,17,11,3.0,0.0,210.0,0.0,1.0,0.0,0.9444444444444444,0.4444444444444444,0.9741176470588234,0.8776923076923077,1.0,0.7647058823529411,0.9444444444444444,0.3055555555555556,0.4,0.1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
100,179,3,tier_2_same_season_position_draft_bucket,1.1291621112599215,5,True,2021,2021,00-0033873,00-0035710,Patrick Mahomes,Daniel Jones,KC,NYG,QB,QB,2017.0,2019.0,1.0,1.0,10.0,6.0,round_1,round_1,4.0,2.0,possible_fifth_year_option,rookie_contract,267.55589782933174,43.93967129627373,0.9444444444444444,0.4166666666666667,7.433381,7.174288,22.806905,3.003096,3.0,22.0,18.0,19.0,15.0,-3.0,0.9305555555555556,0.4444444444444444,3.0,21.0,17,11,1164.0,673.0,0.9741176470588234,0.948181818181818,17,10,17,10,3.0,0.0,210.0,0.0,1.0,0.0,0.9444444444444444,0.4166666666666667,0.9741176470588234,0.948181818181818,1.0,0.6470588235294118,0.9444444444444444,0.19444444444444445,0.4,0.2,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
100,236,4,tier_2_same_season_position_draft_bucket,1.169670078167164,5,True,2021,2021,00-0033873,00-0036971,Patrick Mahomes,Trevor Lawrence,KC,JAX,QB,QB,2017.0,2021.0,1.0,1.0,10.0,1.0,round_1,round_1,4.0,0.0,possible_fifth_year_option,rookie_contract,267.55589782933174,-8.323717981128336,0.9444444444444444,0.1666666666666666,7.433381,6.689725,22.806905,24.7789,3.0,31.0,18.0,21.0,15.0,-10.0,0.9305555555555556,0.2222222222222222,3.0,29.0,17,17,1164.0,1078.0,0.9741176470588234,0.9929411764705882,17,17,17,17,3.0,0.0,210.0,0.0,1.0,0.0,0.9444444444444444,0.1666666666666666,0.9741176470588234,0.9929411764705882,1.0,1.0,0.9444444444444444,0.75,0.4,0.0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
100,150,5,tier_2_same_season_position_draft_bucket,1.4564098004386055,5,True,2021,2021,00-0033873,00-0034869,Patrick Mahomes,Sam Darnold,KC,CAR,QB,QB,2017.0,2018.0,1.0,1.0,10.0,3.0,round_1,round_1,4.0,3.0,possible_fifth_year_option,rookie_contract,267.55589782933174,-38.21469350084465,0.9444444444444444,0.0555555555555555,7.433381,4.774685,22.806905,4.774685,3.0,35.0,18.0,26.0,15.0,-9.0,0.9305555555555556,0.2777777777777778,3.0,26.0,17,12,1164.0,771.0,0.9741176470588234,0.93,17,12,17,11,3.0,0.0,210.0,0.0,1.0,0.0,0.9444444444444444,0.0555555555555555,0.9741176470588234,0.93,1.0,0.7058823529411765,0.9444444444444444,0.2777777777777778,0.4,0.3,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1
117,141,1,tier_1_same_season_position_draft_bucket_contract_stage,0.5912443056063686,5,True,2021,2021,00-0034270,00-0034798,Tyler Conklin,Durham Smythe,MIN,MIA,TE,TE,2018.0,2018.0,5.0,4.0,157.0,123.0,rounds_4_5,rounds_4_5,3.0,3.0,rookie_contract,rookie_contract,65.24053309152892,42.80846838661819,0.6111111111111112,0.3333333333333333,0.990258,2.341058,0.92,2.183,15.0,25.0,32.0,24.0,17.0,-1.0,0.8888888888888888,0.5416666666666666,5.0,17.0,17,17,924.0,716.0,0.8099999999999999,0.6223529411764706,17,12,16,6,0.0,0.0,0.0,0.0,0.0,0.0,0.6111111111111112,0.3333333333333333,0.8099999999999999,0.6223529411764706,1.0,1.0,0.8888888888888888,0.5,0.3,0.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
117,153,2,tier_1_same_season_position_draft_bucket_contract_stage,0.6608787097293056,5,True,2021,2021,00-0034270,00-0034981,Tyler Conklin,Foster Moreau,MIN,LV,TE,TE,2018.0,2019.0,5.0,4.0,157.0,137.0,rounds_4_5,rounds_4_5,3.0,2.0,rookie_contract,rookie_contract,65.24053309152892,34.276612628071476,0.6111111111111112,0.2222222222222222,0.990258,0.972098,0.92,0.85,15.0,29.0,32.0,33.0,17.0,4.0,0.8888888888888888,0.6944444444444444,5.0,12.0,17,17,924.0,748.0,0.8099999999999999,0.6464705882352941,17,11,16,7,0.0,1.0,0.0,27.0,0.0,0.35,0.6111111111111112,0.2222222222222222,0.8099999999999999,0.6464705882352941,1.0,1.0,0.8888888888888888,0.5833333333333334,0.3,0.2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,-1,0,0,0,1,1,0
122,197,1,tier_1_same_season_position_draft_bucket_contract_stage,0.9701813985262716,5,True,2021,2021,00-0034351,00-0036290,Dallas Goedert,Cole Kmet,PHI,CHI,TE,TE,2018.0,2020.0,2.0,2.0,49.0,43.0,round_2,round_2,3.0,1.0,rookie_contract,rookie_contract,120.88343191915098,39.46320448199051,0.9166666666666666,0.2777777777777778,3.687966,1.722224,11.320297,0.954445,4.0,27.0,17.0,28.0,13.0,1.0,0.8055555555555556,0.625,8.0,14.0,15,17,781.0,935.0,0.7806666666666667,0.8364705882352942,14,17,10,17,1.0,0.0,59.0,0.0,0.89,0.0,0.9166666666666666,0.2777777777777778,0.7806666666666667,0.8364705882352942,0.8823529411764706,1.0,0.6666666666666666,0.9444444444444444,0.3,0.1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,-1,0,1,-1,1,1,0,1,1,0
124,141,1,tier_1_same_season_position_draft_bucket_contract_stage,1.0203941580028573,5,True,2021,2021,00-0034383,00-0034798,Dalton Schultz,Durham Smythe,DAL,MIA,TE,TE,2018.0,2018.0,4.0,4.0,137.0,123.0,rounds_4_5,rounds_4_5,3.0,3.0,rookie_contract,rookie_contract,130.24208383688972,42.80846838661819,0.9444444444444444,0.3333333333333333,2.296089,2.341058,2.183,2.183,3.0,25.0,25.0,24.0,22.0,-1.0,0.9861111111111112,0.5416666666666666,1.0,17.0,17,17,993.0,716.0,0.8105882352941176,0.6223529411764706,17,12,13,6,1.0,0.0,58.0,0.0,0.81,0.0,0.9444444444444444,0.3333333333333333,0.8105882352941176,0.6223529411764706,1.0,1.0,1.0,0.5,0.3,0.3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
