season,player_id,position_final,player_name,team,passing_yards,passing_tds,passing_interceptions,sacks_suffered,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,targets,passing_epa,rushing_epa,receiving_epa,total_epa,production_score,cap_number,cash_paid,has_contract_match,has_missing_contract,meets_sample_threshold,sample_confidence,contract_confidence,overall_confidence,draft_year,draft_round,draft_pick,years_since_drafted,draft_capital_bucket,estimated_contract_stage,is_likely_rookie_contract,production_rank_position,cost_rank_position,player_surplus_gap,player_surplus_rank,reg_snap_games,reg_teams_with_snaps,reg_offense_snaps,reg_defense_snaps,reg_special_teams_snaps,reg_avg_offense_snap_pct,reg_max_offense_snap_pct,reg_games_off_snap_50_plus,reg_games_off_snap_70_plus,reg_avg_defense_snap_pct,reg_max_defense_snap_pct,reg_games_def_snap_50_plus,reg_avg_st_snap_pct,reg_max_st_snap_pct,playoff_snap_games,playoff_teams_with_snaps,playoff_offense_snaps,playoff_defense_snaps,playoff_special_teams_snaps,playoff_avg_offense_snap_pct,playoff_max_offense_snap_pct,playoff_games_off_snap_50_plus,playoff_games_off_snap_70_plus,playoff_avg_defense_snap_pct,playoff_max_defense_snap_pct,playoff_games_def_snap_50_plus,playoff_avg_st_snap_pct,playoff_max_st_snap_pct,injury_report_weeks,out_weeks,doubtful_weeks,questionable_weeks,practice_dnp_weeks,limited_practice_weeks,unique_primary_injury_weeks,has_reg_snap_data,has_playoff_snap_data,has_injury_source_for_season,injury_merge_matched,played_regular_season,played_playoffs,was_on_injury_report
2021,00-0019596,QB,Tom Brady,TB,5316,43,12,22,81,2,0,0,0,0,144.76788371139247,3.850478549111787,0.0,148.61836226050426,268.32836226050426,10.545588,44.420588,True,False,True,normal_sample,contract_matched,high,2000.0,6.0,199.0,21.0,rounds_6_7,second_contract_or_later,False,2.0,14.0,12.0,8.0,17,1,1139.0,0.0,0.0,0.9629411764705883,1.0,17,17,0.0,0.0,0,0.0,0.0,2.0,1.0,145.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,1,0,0,1,1,
2021,00-0022924,QB,Ben Roethlisberger,PIT,3740,22,10,38,5,1,0,0,0,0,-45.31755300954863,-1.9794034281343813,0.0,-47.296956437683015,7.853043562316984,25.91,14.0,True,False,True,normal_sample,contract_matched,high,2004.0,1.0,11.0,17.0,round_1,second_contract_or_later,False,29.0,6.0,-23.0,36.0,16,1,1076.0,0.0,0.0,0.99125,1.0,16,16,0.0,0.0,0,0.0,0.0,1.0,1.0,68.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,1,0,0,1,1,
2021,00-0023459,QB,Aaron Rodgers,GB,4115,37,4,30,101,3,1,-4,0,1,128.81906195780067,5.831224214693066,-1.2434462904930117,133.40683988200072,247.15683988200075,27.573568,22.364706,True,False,True,normal_sample,contract_matched,high,2005.0,1.0,24.0,16.0,round_1,second_contract_or_later,False,4.0,3.0,-1.0,18.0,16,1,983.0,0.0,0.0,0.93375,1.0,15,15,0.0,0.0,0,0.0,0.0,1.0,1.0,56.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,1,0,0,1,1,
2021,00-0026143,QB,Matt Ryan,ATL,3968,20,12,40,82,1,0,0,0,0,6.330791799200408,-17.84899176361524,0.0,-11.51819996441483,41.261800035585175,26.9125,23.0,True,False,True,normal_sample,contract_matched,high,2008.0,1.0,3.0,13.0,round_1,second_contract_or_later,False,23.0,4.0,-19.0,35.0,17,1,1023.0,0.0,0.0,0.9705882352941176,1.0,17,17,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,0,0,0,1,0,
2021,00-0026498,QB,Matthew Stafford,LA,4886,41,17,30,43,0,0,0,0,0,117.5954231009535,-1.9016529319342224,0.0,115.69377016901927,207.2037701690193,20.0,20.0,True,False,True,normal_sample,contract_matched,high,2009.0,1.0,1.0,12.0,round_1,second_contract_or_later,False,6.0,9.0,3.0,15.0,17,1,1065.0,0.0,0.0,0.9794117647058823,1.0,17,17,0.0,0.0,0,0.0,0.0,4.0,1.0,278.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,1,0,0,1,1,
2021,00-0027061,TE,Jared Cook,LAC,0,0,0,0,0,0,48,564,4,83,0.0,0.0,6.277931714929486,6.277931714929486,58.47793171492949,4.5,5.5,True,False,True,normal_sample,contract_matched,high,2009.0,3.0,89.0,12.0,round_3,second_contract_or_later,False,21.0,15.0,-6.0,24.0,16,1,644.0,0.0,0.0,0.570625,0.7,14,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,0,0,0,1,0,
2021,00-0027656,TE,Rob Gronkowski,TB,0,0,0,0,0,0,55,802,6,89,0.0,0.0,32.71432576561756,32.71432576561756,104.56432576561755,3.0,8.5,True,False,True,normal_sample,contract_matched,high,2010.0,2.0,42.0,11.0,round_2,second_contract_or_later,False,6.0,21.0,15.0,6.0,12,1,634.0,0.0,0.0,0.755,0.95,11,9,0.0,0.0,0,0.0,0.0,2.0,1.0,137.0,0.0,2.0,0.9450000000000001,0.97,2.0,2.0,0.0,0.0,0.0,0.035,0.07,,,,,,,,1,1,0,0,1,1,
2021,00-0027685,WR,Emmanuel Sanders,BUF,0,0,0,0,31,0,42,626,4,72,0.0,2.025341064610984,24.83048003675891,26.855821101369894,82.20582110136989,4.616176,6.0,True,False,True,normal_sample,contract_matched,high,2010.0,3.0,82.0,11.0,round_3,second_contract_or_later,False,45.0,30.0,-15.0,71.0,14,1,747.0,0.0,0.0,0.7692857142857142,0.99,13,12,0.0,0.0,0,0.0,0.0,2.0,1.0,43.0,0.0,0.0,0.365,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,1,0,0,1,1,
2021,00-0027942,WR,A.J. Green,ARI,0,0,0,0,0,0,54,848,3,92,0.0,0.0,28.473385656513347,28.473385656513347,93.37338565651336,3.5,7.0,True,False,True,normal_sample,contract_matched,high,2011.0,1.0,4.0,10.0,round_1,second_contract_or_later,False,39.0,37.0,-2.0,56.0,16,1,888.0,0.0,2.0,0.805625,0.95,16,13,0.0,0.0,0,0.005625,0.05,1.0,1.0,43.0,0.0,0.0,0.77,0.77,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,1,0,0,1,1,
2021,00-0027944,WR,Julio Jones,TEN,0,0,0,0,0,0,31,434,1,48,0.0,0.0,15.380997685733822,15.380997685733822,47.83099768573383,4.1,15.3,True,False,True,normal_sample,contract_matched,high,2011.0,1.0,6.0,10.0,round_1,second_contract_or_later,False,71.0,34.0,-37.0,87.0,10,1,393.0,0.0,1.0,0.583,0.78,7,3,0.0,0.0,0,0.004,0.04,1.0,1.0,41.0,0.0,0.0,0.77,0.77,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,1,0,0,1,1,
2021,00-0027973,QB,Andy Dalton,CHI,1515,8,9,18,76,0,0,0,0,0,-30.054053774520156,-0.7613289881432483,0.0,-30.815382762663404,-18.365382762663405,5.0,10.0,True,False,True,normal_sample,contract_matched,high,2011.0,2.0,35.0,10.0,round_2,second_contract_or_later,False,32.0,24.0,-8.0,25.0,8,1,412.0,0.0,0.0,0.725,1.0,5,5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,0,0,0,1,0,
2021,00-0029000,WR,Cole Beasley,BUF,0,0,0,0,0,0,82,693,1,112,-0.4775908199953846,0.0,6.190129305082187,5.712538485086802,63.8625384850868,7.570588,5.9,True,False,True,normal_sample,contract_matched,high,,,,,undrafted_or_unmatched,undrafted_or_unmatched,False,58.0,16.0,-42.0,88.0,16,1,691.0,0.0,1.0,0.60625,0.91,12,5,0.0,0.0,0,0.001875,0.03,2.0,1.0,47.0,0.0,0.0,0.385,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,1,0,0,1,1,
2021,00-0029239,RB,Brandon Bolden,NE,0,0,0,0,226,1,41,405,2,49,0.0,-1.0987142397894307,19.05911317576294,17.960398935973508,68.76039893597351,2.0,2.0,True,False,True,normal_sample,contract_matched,high,,,,,undrafted_or_unmatched,undrafted_or_unmatched,False,26.0,25.0,-1.0,37.0,17,1,342.0,0.0,278.0,0.30764705882352944,0.56,2,0,0.0,0.0,0,0.6323529411764706,0.78,1.0,1.0,24.0,0.0,15.0,0.38,0.38,0.0,0.0,0.0,0.0,0.0,0.6,0.6,,,,,,,,1,1,0,0,1,1,
