season,player_id,player_name,team,position_final,production_score,production_percentile_position,cap_number,cash_paid,draft_year,draft_round,draft_pick,draft_capital_bucket,years_since_drafted,estimated_contract_stage,is_likely_rookie_contract,production_rank_position,cost_rank_position,player_surplus_gap,surplus_percentile_position,player_surplus_rank,reg_snap_games,reg_offense_snaps,reg_avg_offense_snap_pct,reg_games_off_snap_50_plus,reg_games_off_snap_70_plus,playoff_snap_games,playoff_offense_snaps,playoff_avg_offense_snap_pct,played_playoffs,injury_report_weeks,out_weeks,practice_dnp_weeks,limited_practice_weeks,was_on_injury_report,is_v5_default_candidate,is_wr_case_study_candidate
2025,00-0039851,Drake Maye,NE,QB,288.08507712224093,1.0,8.327219,2.460444,2024.0,1.0,3.0,round_1,1.0,rookie_contract,True,1.0,25.0,24.0,1.0,1.0,17,1050.0,0.9576470588235296,17,17,4.0,264.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1,0
2025,00-0039732,Bo Nix,DEN,QB,165.88789432636088,0.7894736842105263,4.230265,1.641053,2024.0,1.0,12.0,round_1,1.0,rookie_contract,True,9.0,31.0,22.0,0.9736842105263158,2.0,17,1136.0,0.9964705882352942,17,17,1.0,72.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1,0
2025,00-0040691,Jaxson Dart,NYG,QB,126.86347932671816,0.6578947368421053,3.086898,9.827592,2025.0,1.0,25.0,round_1,0.0,rookie_contract,True,14.0,32.0,18.0,0.9473684210526315,3.0,14,774.0,0.8364285714285714,12,12,0.0,0.0,0.0,0,6.0,2.0,1.0,1.0,1.0,1,0
2025,00-0039918,Caleb Williams,CHI,QB,159.06323686768334,0.7631578947368421,8.974104,2.589821,2024.0,1.0,1.0,round_1,1.0,rookie_contract,True,10.0,22.0,12.0,0.9078947368421053,4.0,17,1143.0,0.9905882352941175,17,17,2.0,159.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1,0
2025,00-0036972,Mac Jones,SF,QB,73.92734438676331,0.4473684210526316,2.558,4.25,2021.0,1.0,15.0,round_1,4.0,possible_fifth_year_option,True,22.0,34.0,12.0,0.9078947368421053,4.0,11,546.0,0.7436363636363637,8,8,1.0,9.0,0.15,1,10.0,0.0,0.0,2.0,1.0,1,0
2025,00-0037834,Brock Purdy,SF,QB,134.59202882330524,0.6842105263157895,9.119253,41.1,2022.0,7.0,262.0,rounds_6_7,3.0,rookie_contract,True,13.0,21.0,8.0,0.8289473684210527,7.0,9,576.0,0.977777777777778,9,9,2.0,110.0,0.925,1,12.0,5.0,3.0,5.0,1.0,1,0
2025,00-0040743,Tyler Shough,NO,QB,45.47311623842555,0.3157894736842105,1.964496,5.337984,2025.0,2.0,40.0,round_2,0.0,rookie_contract,True,27.0,35.0,8.0,0.8289473684210527,7.0,11,605.0,0.8345454545454545,10,9,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,1.0,1,0
2025,00-0036971,Trevor Lawrence,JAX,QB,172.97147994854305,0.8157894736842105,17.0,37.5,2021.0,1.0,1.0,round_1,4.0,possible_fifth_year_option,True,8.0,15.0,7.0,0.7763157894736842,9.0,17,1114.0,0.967058823529412,17,17,1.0,56.0,1.0,1,1.0,0.0,0.0,0.0,1.0,1,0
2025,00-0039163,C.J. Stroud,HOU,QB,122.81344646764003,0.631578947368421,9.894339,4.048113,2023.0,1.0,2.0,round_1,2.0,rookie_contract,True,15.0,20.0,5.0,0.6842105263157895,12.0,14,868.0,0.9121428571428573,13,12,2.0,143.0,1.0,1,4.0,3.0,3.0,0.0,1.0,1,0
2025,00-0038597,Chase Brown,CIN,RB,108.4795558652642,0.8225806451612904,1.101539,1.03,2023.0,5.0,163.0,rounds_4_5,2.0,rookie_contract,True,12.0,48.0,36.0,1.0,1.0,17,738.0,0.6658823529411765,17,6,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,1,0
2025,00-0039040,De'Von Achane,MIA,RB,148.46097509414986,0.9193548387096774,1.482941,1.244314,2023.0,3.0,84.0,round_3,2.0,rookie_contract,True,6.0,39.0,33.0,0.9838709677419355,2.0,16,694.0,0.75375,15,13,0.0,0.0,0.0,0,4.0,0.0,1.0,0.0,1.0,1,0
2025,00-0040242,Jacory Croskey-Merritt,WAS,RB,64.4034335730453,0.5645161290322581,0.866357,0.945428,2025.0,7.0,245.0,rounds_6_7,0.0,rookie_contract,True,28.0,60.0,32.0,0.967741935483871,3.0,17,406.0,0.3947058823529412,4,0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,1.0,1,0
2025,00-0040236,Kyle Monangai,CHI,RB,63.25449328940423,0.5483870967741935,0.872035,0.96814,2025.0,7.0,233.0,rounds_6_7,0.0,rookie_contract,True,29.0,59.0,30.0,0.9516129032258065,4.0,17,478.0,0.4088235294117647,2,1,2.0,66.0,0.415,1,5.0,0.0,0.0,0.0,1.0,1,0
2025,00-0039384,Tyrone Tracy Jr.,NYG,RB,62.65427693713083,0.532258064516129,1.031588,0.96,2024.0,5.0,166.0,rounds_4_5,1.0,rookie_contract,True,30.0,54.0,24.0,0.9354838709677419,5.0,15,548.0,0.5446666666666666,9,3,0.0,0.0,0.0,0,5.0,1.0,1.0,3.0,1.0,1,0
2025,00-0040730,RJ Harvey,DEN,RB,88.27971956746576,0.7258064516129032,1.338122,2.832488,2025.0,2.0,60.0,round_2,0.0,rookie_contract,True,18.0,40.0,22.0,0.9193548387096774,6.0,17,481.0,0.4211764705882353,6,0,2.0,76.0,0.575,1,1.0,0.0,0.0,0.0,1.0,1,0
2025,00-0040715,Cam Skattebo,NYG,RB,49.101339092737064,0.41935483870967744,0.913816,1.718596,2025.0,4.0,105.0,rounds_4_5,0.0,rookie_contract,True,37.0,57.0,20.0,0.9032258064516129,7.0,8,295.0,0.5225,6,2,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,1,0
2025,00-0037840,Kyren Williams,LA,RB,138.11627437536984,0.8870967741935484,2.465102,6.25,2022.0,5.0,164.0,rounds_4_5,3.0,rookie_contract,True,8.0,26.0,18.0,0.8629032258064516,9.0,17,772.0,0.6829411764705882,17,7,3.0,128.0,0.59,1,2.0,0.0,0.0,1.0,1.0,1,0
2025,00-0039391,Kimani Vidal,LAC,RB,41.599666600415354,0.3225806451612903,0.693333,0.693333,2024.0,6.0,181.0,rounds_6_7,1.0,rookie_contract,True,43.0,61.0,18.0,0.8629032258064516,9.0,13,481.0,0.5446153846153846,9,4,1.0,56.0,0.93,1,2.0,0.0,0.0,1.0,1.0,1,0
2025,00-0040734,TreVeyon Henderson,NE,RB,106.4633030216752,0.7903225806451613,2.026047,5.584188,2025.0,2.0,38.0,round_2,0.0,rookie_contract,True,14.0,31.0,17.0,0.8306451612903226,11.0,17,501.0,0.4588235294117647,6,3,4.0,83.0,0.31,1,2.0,0.0,0.0,0.0,1.0,1,0
2025,00-0038611,Chris Rodriguez Jr.,WAS,RB,48.14746537129395,0.4032258064516129,1.03,1.03,2023.0,6.0,193.0,rounds_6_7,2.0,rookie_contract,True,38.0,55.0,17.0,0.8306451612903226,11.0,13,255.0,0.3123076923076923,1,0,0.0,0.0,0.0,0,7.0,0.0,1.0,1.0,1.0,1,0
2025,00-0037248,James Cook,BUF,RB,160.09799770077868,0.9354838709677419,3.435375,10.28,2022.0,2.0,63.0,round_2,3.0,rookie_contract,True,5.0,20.0,15.0,0.7903225806451613,13.0,17,639.0,0.571764705882353,14,4,2.0,88.0,0.62,1,3.0,0.0,0.0,0.0,1.0,1,0
2025,00-0039738,Blake Corum,LA,RB,69.16041979973089,0.5806451612903226,1.309946,1.056989,2024.0,3.0,83.0,round_3,1.0,rookie_contract,True,27.0,41.0,14.0,0.7580645161290323,16.0,17,332.0,0.2911764705882353,0,0,3.0,80.0,0.3733333333333333,1,2.0,0.0,0.0,1.0,1.0,1,0
2025,00-0039139,Jahmyr Gibbs,DET,RB,180.2834518911758,0.9516129032258065,4.866856,2.372286,2023.0,1.0,12.0,round_1,2.0,rookie_contract,True,4.0,17.0,13.0,0.7338709677419355,17.0,17,737.0,0.67,17,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0
2025,00-0039165,Zach Charbonnet,SEA,RB,84.2173228998953,0.6935483870967742,1.875294,1.375098,2023.0,2.0,52.0,round_2,2.0,rookie_contract,True,20.0,33.0,13.0,0.7338709677419355,17.0,16,489.0,0.48375,9,0,1.0,8.0,0.15,1,2.0,0.0,1.0,0.0,1.0,1,0
2025,00-0038542,Bijan Robinson,ATL,RB,181.98520651349455,0.967741935483871,5.988694,2.746232,2023.0,1.0,8.0,round_1,2.0,rookie_contract,True,3.0,14.0,11.0,0.6935483870967742,20.0,17,860.0,0.7817647058823529,17,12,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,1,0
